,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
113,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",13488.0,6216.0,7272.0,8601.0,4041.0,4560.0,4887.0,2175.0,2712.0,2458.0,390.0,2068.0,2081.0,231.0,1850.0,377.0,159.0,218.0,7992.0,3977.0,4015.0,5180.0,2840.0,2340.0,2812.0,1137.0,1675.0,3038.0,1849.0,1189.0,1340.0,970.0,370.0,1698.0,879.0,819.0
114,Suffolk County (Northwest)--Smithtown Town PUMA,56.0,0.0,56.0,56.0,0.0,56.0,0.0,0.0,0.0,56.0,0.0,56.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Ulster County (East) PUMA,1294.0,253.0,1041.0,1046.0,230.0,816.0,248.0,23.0,225.0,213.0,141.0,72.0,213.0,141.0,72.0,0.0,0.0,0.0,788.0,112.0,676.0,705.0,89.0,616.0,83.0,23.0,60.0,293.0,0.0,293.0,128.0,0.0,128.0,165.0,0.0,165.0
116,Westchester County (Northeast) PUMA,646.0,488.0,158.0,322.0,164.0,158.0,324.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,324.0,158.0,158.0,0.0,158.0,324.0,324.0,0.0,164.0,164.0,0.0,164.0,164.0,0.0,0.0,0.0,0.0
117,NYC-Brooklyn Community District 4--Bushwick PUMA,14373.0,7943.0,6430.0,12332.0,7014.0,5318.0,2041.0,929.0,1112.0,2139.0,692.0,1447.0,1958.0,588.0,1370.0,181.0,104.0,77.0,8778.0,5262.0,3516.0,7251.0,4503.0,2748.0,1527.0,759.0,768.0,3456.0,1989.0,1467.0,3123.0,1923.0,1200.0,333.0,66.0,267.0
118,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,14759.0,7758.0,7001.0,13202.0,7311.0,5891.0,1557.0,447.0,1110.0,4400.0,2367.0,2033.0,4089.0,2367.0,1722.0,311.0,0.0,311.0,8517.0,4341.0,4176.0,7501.0,3894.0,3607.0,1016.0,447.0,569.0,1842.0,1050.0,792.0,1612.0,1050.0,562.0,230.0,0.0,230.0
119,Dutchess County (North & East) PUMA,1121.0,527.0,594.0,1121.0,527.0,594.0,0.0,0.0,0.0,84.0,0.0,84.0,84.0,0.0,84.0,0.0,0.0,0.0,938.0,527.0,411.0,938.0,527.0,411.0,0.0,0.0,0.0,99.0,0.0,99.0,99.0,0.0,99.0,0.0,0.0,0.0
120,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,1124.0,640.0,484.0,528.0,247.0,281.0,596.0,393.0,203.0,177.0,0.0,177.0,177.0,0.0,177.0,0.0,0.0,0.0,824.0,517.0,307.0,228.0,124.0,104.0,596.0,393.0,203.0,123.0,123.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0
121,Broome (Outer West) & Tioga Counties PUMA,40.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",614.0,614.0,0.0,614.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,614.0,0.0,614.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
