,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
126,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",9928,968,0,968,5372,3665,1707,3588,2475,1113
127,NYC-Manhattan Community District 11--East Harlem PUMA,9571,1071,423,648,5777,2998,2779,2723,1025,1698
128,Westchester County (Southeast) PUMA,1219,484,0,484,735,601,134,0,0,0
129,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,716,57,57,0,659,355,304,0,0,0
130,Erie County (Northeast) PUMA,493,0,0,0,430,430,0,63,63,0
131,Monroe County (Central)--Greece & Gates Towns PUMA,1715,320,272,48,1271,786,485,124,0,124
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,3513,643,343,300,2544,1310,1234,326,276,50
133,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",10924,2834,1030,1804,6694,2472,4222,1396,742,654
134,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",466,0,0,0,373,0,373,93,0,93
135,Albany County (East Central)--Albany City PUMA,1036,286,100,186,575,176,399,175,0,175
136,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",4134,1044,596,448,3090,2081,1009,0,0,0
137,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1756,336,149,187,1414,512,902,6,6,0
138,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,2149,1039,672,367,1060,616,444,50,50,0
139,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",3656,263,40,223,1848,591,1257,1545,893,652
140,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",5209,508,110,398,3766,1634,2132,935,654,281
141,NYC-Manhattan Community District 8--Upper East Side PUMA,2292,1438,1261,177,492,0,492,362,362,0
142,Orange County (Northeast)--Greater Newburgh City PUMA,3097,1115,202,913,1863,1330,533,119,0,119
143,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",4165,361,149,212,2891,884,2007,913,468,445
144,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,4704,1123,813,310,3092,1735,1357,489,89,400
145,Suffolk County (Central)--Islip Town (Northwest) PUMA,3958,523,141,382,1913,670,1243,1522,787,735
146,Capital Region,8283,2105,844,1261,4930,2354,2576,1248,611,637
147,Central NY,2587,373,217,156,1725,707,1018,489,258,231
148,Finger Lakes,10750,1845,1202,643,7230,3324,3906,1675,733,942
149,Long Island,38707,11395,4271,7124,23441,12850,10591,3871,2567,1304
150,Mid-Hudson,44761,14559,4588,9971,25840,12488,13352,4362,2692,1670
151,Mohawk Valley,4894,432,106,326,3494,1666,1828,968,570,398
152,New York City,262280,44939,19192,25747,162781,80430,82351,54560,28834,25726
153,North Country,1998,70,70,0,1261,643,618,667,466,201
154,Southern Tier,2078,328,292,36,1276,709,567,474,233,241
155,Western NY,10953,2070,424,1646,6408,3199,3209,2475,1520,955
