,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
27,St. Lawrence County PUMA,716,467,249,467,467,0,249,0,249,0,0,0,0,0,0,0,0,0,716,467,249,467,467,0,249,0,249,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",3117,1457,1660,2915,1382,1533,202,75,127,2795,1287,1508,2631,1250,1381,164,37,127,322,170,152,284,132,152,38,38,0,0,0,0,0,0,0,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,724,527,197,724,527,197,0,0,0,451,273,178,451,273,178,0,0,0,216,197,19,216,197,19,0,0,0,57,57,0,57,57,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,8581,4398,4183,7085,3755,3330,1496,643,853,4233,2138,2095,3571,2138,1433,662,0,662,3654,1723,1931,3130,1390,1740,524,333,191,694,537,157,384,227,157,310,310,0
31,Cayuga & Onondaga (South) Counties PUMA,226,78,148,226,78,148,0,0,0,226,78,148,226,78,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,798,269,529,798,269,529,0,0,0,227,167,60,227,167,60,0,0,0,469,0,469,469,0,469,0,0,0,102,102,0,102,102,0,0,0,0
33,Fulton & Montgomery Counties PUMA,343,0,343,314,0,314,29,0,29,205,0,205,205,0,205,0,0,0,138,0,138,109,0,109,29,0,29,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,1746,1053,693,1283,766,517,463,287,176,809,469,340,666,396,270,143,73,70,805,510,295,559,370,189,246,140,106,132,74,58,58,0,58,74,74,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,7991,3923,4068,6756,3350,3406,1235,573,662,4041,1824,2217,3600,1764,1836,441,60,381,3322,1606,1716,2590,1093,1497,732,513,219,628,493,135,566,493,73,62,0,62
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,190,106,84,190,106,84,0,0,0,0,0,0,0,0,0,0,0,0,190,106,84,190,106,84,0,0,0,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1624,1125,499,1483,1125,358,141,0,141,550,157,393,409,157,252,141,0,141,550,444,106,550,444,106,0,0,0,524,524,0,524,524,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",1217,823,394,823,823,0,394,0,394,442,442,0,442,442,0,0,0,0,381,381,0,381,381,0,0,0,0,394,0,394,0,0,0,394,0,394
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,867,297,570,867,297,570,0,0,0,312,172,140,312,172,140,0,0,0,555,125,430,555,125,430,0,0,0,0,0,0,0,0,0,0,0,0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",2740,1246,1494,2740,1246,1494,0,0,0,2264,896,1368,2264,896,1368,0,0,0,476,350,126,476,350,126,0,0,0,0,0,0,0,0,0,0,0,0
