,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,1629124,808818,820306,1328309,670082,658227,300815,138736,162079,707786,328452,379334,632833,294491,338342,74953,33961,40992,718868,368173,350695,563008,297764,265244,155860,70409,85451,202470,112193,90277,132468,77827,54641,70002,34366,35636
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",21557,11225,10332,17325,8825,8500,4232,2400,1832,10092,4401,5691,8666,3835,4831,1426,566,860,10205,5972,4233,8027,4526,3501,2178,1446,732,1260,852,408,632,464,168,628,388,240
2,Ulster County (East) PUMA,3452,884,2568,2145,617,1528,1307,267,1040,1586,391,1195,772,295,477,814,96,718,1473,410,1063,1290,239,1051,183,171,12,393,83,310,83,83,0,310,0,310
3,Albany County (East Central)--Albany City PUMA,6217,2795,3422,5105,2284,2821,1112,511,601,2601,1037,1564,1880,777,1103,721,260,461,3118,1424,1694,2941,1327,1614,177,97,80,498,334,164,284,180,104,214,154,60
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1759,535,1224,1528,371,1157,231,164,67,1129,371,758,1129,371,758,0,0,0,231,164,67,0,0,0,231,164,67,399,0,399,399,0,399,0,0,0
5,Ontario & Yates Counties PUMA,1927,1014,913,1786,1014,772,141,0,141,1613,1014,599,1472,1014,458,141,0,141,314,0,314,314,0,314,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,5360,2714,2646,4941,2609,2332,419,105,314,3381,2283,1098,3321,2223,1098,60,60,0,1714,431,1283,1355,386,969,359,45,314,265,0,265,265,0,265,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,21773,10580,11193,17718,8544,9174,4055,2036,2019,8580,4017,4563,7801,3484,4317,779,533,246,10506,4676,5830,7765,3425,4340,2741,1251,1490,2687,1887,800,2152,1635,517,535,252,283
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1770,548,1222,1528,476,1052,242,72,170,857,232,625,857,232,625,0,0,0,731,285,446,489,213,276,242,72,170,182,31,151,182,31,151,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,7935,3831,4104,4950,2491,2459,2985,1340,1645,1630,714,916,1557,641,916,73,73,0,4825,2480,2345,2712,1213,1499,2113,1267,846,1480,637,843,681,637,44,799,0,799
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",19598,10430,9168,11746,7559,4187,7852,2871,4981,4607,2722,1885,3550,2268,1282,1057,454,603,10551,5574,4977,6101,3832,2269,4450,1742,2708,4440,2134,2306,2095,1459,636,2345,675,1670
11,Livingston & Wyoming Counties PUMA,974,541,433,598,366,232,376,175,201,639,487,152,464,312,152,175,175,0,135,33,102,113,33,80,22,0,22,200,21,179,21,21,0,179,0,179
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,8935,4700,4235,6563,3589,2974,2372,1111,1261,5396,3052,2344,4193,2150,2043,1203,902,301,3096,1458,1638,2240,1309,931,856,149,707,443,190,253,130,130,0,313,60,253
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,10625,5875,4750,8813,5151,3662,1812,724,1088,2550,849,1701,2375,849,1526,175,0,175,5856,4161,1695,5344,3802,1542,512,359,153,2219,865,1354,1094,500,594,1125,365,760
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,5675,2968,2707,3017,1418,1599,2658,1550,1108,3086,1825,1261,1653,996,657,1433,829,604,1803,835,968,1258,422,836,545,413,132,786,308,478,106,0,106,680,308,372
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,13044,6272,6772,12318,6087,6231,726,185,541,7850,4101,3749,7546,4048,3498,304,53,251,4101,1808,2293,4050,1757,2293,51,51,0,1093,363,730,722,282,440,371,81,290
16,Monroe County (Central)--Rochester City (East) PUMA,1717,616,1101,984,470,514,733,146,587,796,441,355,583,295,288,213,146,67,518,175,343,338,175,163,180,0,180,403,0,403,63,0,63,340,0,340
17,Westchester County (Northwest) PUMA,13571,6254,7317,12089,5968,6121,1482,286,1196,4756,2527,2229,4600,2527,2073,156,0,156,7142,2906,4236,6028,2620,3408,1114,286,828,1673,821,852,1461,821,640,212,0,212
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,6603,3670,2933,4721,2751,1970,1882,919,963,2185,1150,1035,1977,1150,827,208,0,208,3631,2118,1513,2297,1284,1013,1334,834,500,787,402,385,447,317,130,340,85,255
19,Onondaga County (Central)--Syracuse City PUMA,6137,2890,3247,3822,1408,2414,2315,1482,833,3788,1644,2144,2726,917,1809,1062,727,335,1900,1068,832,930,369,561,970,699,271,449,178,271,166,122,44,283,56,227
20,Westchester County (Northeast) PUMA,9064,4536,4528,8106,4050,4056,958,486,472,4004,1949,2055,3882,1949,1933,122,0,122,3036,1621,1415,2332,1267,1065,704,354,350,2024,966,1058,1892,834,1058,132,132,0
21,Madison & Cortland Counties PUMA,359,70,289,327,70,257,32,0,32,208,70,138,188,70,118,20,0,20,42,0,42,30,0,30,12,0,12,109,0,109,109,0,109,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,5860,3219,2641,2498,1587,911,3362,1632,1730,1908,1051,857,976,663,313,932,388,544,2001,1228,773,607,313,294,1394,915,479,1951,940,1011,915,611,304,1036,329,707
23,Monroe County (Central)--Rochester City (West) PUMA,3945,2330,1615,1715,1435,280,2230,895,1335,1649,852,797,542,426,116,1107,426,681,1905,1087,818,822,658,164,1083,429,654,391,391,0,351,351,0,40,40,0
24,Suffolk County (Central)--Islip Town (East) PUMA,3064,1184,1880,3050,1170,1880,14,14,0,2013,734,1279,2013,734,1279,0,0,0,749,436,313,749,436,313,0,0,0,302,14,288,288,0,288,14,14,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,4353,2084,2269,4205,2084,2121,148,0,148,2956,1471,1485,2956,1471,1485,0,0,0,1310,526,784,1162,526,636,148,0,148,87,87,0,87,87,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",16796,8441,8355,11313,6334,4979,5483,2107,3376,3306,1744,1562,2494,1461,1033,812,283,529,8263,4181,4082,5884,3215,2669,2379,966,1413,5227,2516,2711,2935,1658,1277,2292,858,1434
27,St. Lawrence County PUMA,1314,706,608,945,601,344,369,105,264,1012,693,319,802,601,201,210,92,118,277,0,277,131,0,131,146,0,146,25,13,12,12,0,12,13,13,0
28,Columbia & Greene Counties PUMA,1271,377,894,737,302,435,534,75,459,475,200,275,266,185,81,209,15,194,665,177,488,340,117,223,325,60,265,131,0,131,131,0,131,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,8646,4149,4497,7771,3511,4260,875,638,237,6602,3115,3487,6062,2700,3362,540,415,125,1708,810,898,1622,724,898,86,86,0,336,224,112,87,87,0,249,137,112
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",32010,15649,16361,25049,12611,12438,6961,3038,3923,16243,7346,8897,14649,6683,7966,1594,663,931,13591,7528,6063,9161,5424,3737,4430,2104,2326,2176,775,1401,1239,504,735,937,271,666
31,Monroe County (North & West) PUMA,282,196,86,282,196,86,0,0,0,0,0,0,0,0,0,0,0,0,139,53,86,139,53,86,0,0,0,143,143,0,143,143,0,0,0,0
32,Schenectady County--Schenectady City PUMA,3206,1579,1627,2970,1483,1487,236,96,140,1461,732,729,1332,636,696,129,96,33,1642,790,852,1581,790,791,61,0,61,103,57,46,57,57,0,46,0,46
