,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,3262,1859,1403,3114,1859,1255,148,0,148,2386,1372,1014,2386,1372,1014,0,0,0,789,400,389,641,400,241,148,0,148,87,87,0,87,87,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",11157,6731,4426,9075,5651,3424,2082,1080,1002,2513,1470,1043,2129,1187,942,384,283,101,5807,3551,2256,4736,2977,1759,1071,574,497,2837,1710,1127,2210,1487,723,627,223,404
27,St. Lawrence County PUMA,627,333,294,389,241,148,238,92,146,481,333,148,389,241,148,92,92,0,146,0,146,0,0,0,146,0,146,0,0,0,0,0,0,0,0,0
28,Columbia & Greene Counties PUMA,691,377,314,616,302,314,75,75,0,266,200,66,251,185,66,15,15,0,400,177,223,340,117,223,60,60,0,25,0,25,25,0,25,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6481,3279,3202,6355,3193,3162,126,86,40,5139,2393,2746,5099,2393,2706,40,0,40,1266,810,456,1180,724,456,86,86,0,76,76,0,76,76,0,0,0,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",20182,12568,7614,17400,10585,6815,2782,1983,799,10332,5871,4461,9631,5360,4271,701,511,190,8702,6165,2537,6806,4721,2085,1896,1444,452,1148,532,616,963,504,459,185,28,157
31,Monroe County (North & West) PUMA,282,196,86,282,196,86,0,0,0,0,0,0,0,0,0,0,0,0,139,53,86,139,53,86,0,0,0,143,143,0,143,143,0,0,0,0
32,Schenectady County--Schenectady City PUMA,2856,1579,1277,2727,1483,1244,129,96,33,1331,732,599,1202,636,566,129,96,33,1468,790,678,1468,790,678,0,0,0,57,57,0,57,57,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",6803,3391,3412,6018,3066,2952,785,325,460,1780,822,958,1780,822,958,0,0,0,3597,1850,1747,3115,1619,1496,482,231,251,1426,719,707,1123,625,498,303,94,209
34,Niagara County (North & East) PUMA,419,295,124,419,295,124,0,0,0,294,201,93,294,201,93,0,0,0,98,78,20,98,78,20,0,0,0,27,16,11,27,16,11,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4302,3162,1140,3601,2461,1140,701,701,0,1299,1006,293,1299,1006,293,0,0,0,2571,2056,515,1870,1355,515,701,701,0,432,100,332,432,100,332,0,0,0
36,Suffolk County (East) PUMA,7775,4716,3059,5558,3544,2014,2217,1172,1045,1440,702,738,1440,702,738,0,0,0,4614,2813,1801,3246,2490,756,1368,323,1045,1721,1201,520,872,352,520,849,849,0
37,Warren & Washington Counties PUMA,922,377,545,793,248,545,129,129,0,491,214,277,491,214,277,0,0,0,247,129,118,118,0,118,129,129,0,184,34,150,184,34,150,0,0,0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,23995,11518,12477,23073,10926,12147,922,592,330,17593,7855,9738,17019,7556,9463,574,299,275,6147,3463,2684,5854,3170,2684,293,293,0,255,200,55,200,200,0,55,0,55
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",5089,2227,2862,4929,2067,2862,160,160,0,2280,694,1586,2280,694,1586,0,0,0,2362,1197,1165,2362,1197,1165,0,0,0,447,336,111,287,176,111,160,160,0
40,Westchester County (Central)--White Plains City PUMA,13400,8266,5134,12946,7812,5134,454,454,0,7523,4470,3053,7523,4470,3053,0,0,0,4946,3319,1627,4492,2865,1627,454,454,0,931,477,454,931,477,454,0,0,0
