,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
24,Jefferson & Lewis Counties PUMA,1251.0,370.0,881.0,1129.0,370.0,759.0,122.0,0.0,122.0,620.0,299.0,321.0,620.0,299.0,321.0,0.0,0.0,0.0,610.0,71.0,539.0,488.0,71.0,417.0,122.0,0.0,122.0,21.0,0.0,21.0,21.0,0.0,21.0,0.0,0.0,0.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",19.0,19.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Erie County (Central) PUMA,1943.0,1382.0,561.0,1455.0,951.0,504.0,488.0,431.0,57.0,573.0,425.0,148.0,536.0,388.0,148.0,37.0,37.0,0.0,1370.0,957.0,413.0,919.0,563.0,356.0,451.0,394.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,St. Lawrence County PUMA,362.0,139.0,223.0,362.0,139.0,223.0,0.0,0.0,0.0,231.0,139.0,92.0,231.0,139.0,92.0,0.0,0.0,0.0,131.0,0.0,131.0,131.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",15985.0,8928.0,7057.0,13147.0,7373.0,5774.0,2838.0,1555.0,1283.0,7517.0,3249.0,4268.0,5976.0,2619.0,3357.0,1541.0,630.0,911.0,7343.0,4962.0,2381.0,6674.0,4425.0,2249.0,669.0,537.0,132.0,1125.0,717.0,408.0,497.0,329.0,168.0,628.0,388.0,240.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,887.0,546.0,341.0,754.0,546.0,208.0,133.0,0.0,133.0,629.0,421.0,208.0,629.0,421.0,208.0,0.0,0.0,0.0,258.0,125.0,133.0,125.0,125.0,0.0,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,12948.0,5948.0,7000.0,9627.0,4535.0,5092.0,3321.0,1413.0,1908.0,6689.0,2834.0,3855.0,5224.0,2026.0,3198.0,1465.0,808.0,657.0,4328.0,2296.0,2032.0,3127.0,1892.0,1235.0,1201.0,404.0,797.0,1931.0,818.0,1113.0,1276.0,617.0,659.0,655.0,201.0,454.0
31,Cayuga & Onondaga (South) Counties PUMA,345.0,98.0,247.0,345.0,98.0,247.0,0.0,0.0,0.0,161.0,98.0,63.0,161.0,98.0,63.0,0.0,0.0,0.0,184.0,0.0,184.0,184.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,197.0,197.0,0.0,197.0,197.0,0.0,0.0,0.0,0.0,197.0,197.0,0.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Fulton & Montgomery Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
