,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
25,"Chenango, Delaware & Broome (East) Counties PUMA",888,368,520,719,273,446,169,95,74,212,94,118,165,65,100,47,29,18,565,163,402,478,132,346,87,31,56,111,111,0,76,76,0,35,35,0
26,Erie County (Central) PUMA,3368,2032,1336,2291,1707,584,1077,325,752,1210,765,445,956,642,314,254,123,131,2158,1267,891,1335,1065,270,823,202,621,0,0,0,0,0,0,0,0,0
27,St. Lawrence County PUMA,1052,693,359,627,333,294,425,360,65,894,693,201,481,333,148,413,360,53,146,0,146,146,0,146,0,0,0,12,0,12,0,0,0,12,0,12
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",20388,11039,9349,17404,10135,7269,2984,904,2080,9974,4308,5666,8599,3787,4812,1375,521,854,9260,5879,3381,7953,5496,2457,1307,383,924,1154,852,302,852,852,0,302,0,302
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4488,2631,1857,3683,2572,1111,805,59,746,2698,2200,498,2374,2141,233,324,59,265,1651,431,1220,1276,431,845,375,0,375,139,0,139,33,0,33,106,0,106
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,12697,6297,6400,10277,5178,5099,2420,1119,1301,7642,3281,4361,6571,2929,3642,1071,352,719,3540,2085,1455,2701,1626,1075,839,459,380,1515,931,584,1005,623,382,510,308,202
31,Cayuga & Onondaga (South) Counties PUMA,1301,681,620,831,496,335,470,185,285,507,295,212,393,212,181,114,83,31,748,340,408,392,238,154,356,102,254,46,46,0,46,46,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,2123,1579,544,1988,1579,409,135,0,135,1335,987,348,1263,987,276,72,0,72,497,362,135,434,362,72,63,0,63,291,230,61,291,230,61,0,0,0
33,Fulton & Montgomery Counties PUMA,371,308,63,371,308,63,0,0,0,355,292,63,355,292,63,0,0,0,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,3012,1318,1694,2414,1318,1096,598,0,598,1872,1012,860,1639,1012,627,233,0,233,1050,216,834,685,216,469,365,0,365,90,90,0,90,90,0,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,14836,8642,6194,11730,7793,3937,3106,849,2257,8181,4692,3489,6832,4479,2353,1349,213,1136,4995,2972,2023,4119,2535,1584,876,437,439,1660,978,682,779,779,0,881,199,682
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,1233,807,426,1233,807,426,0,0,0,660,660,0,660,660,0,0,0,0,437,147,290,437,147,290,0,0,0,136,0,136,136,0,136,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4861,3162,1699,4302,3162,1140,559,0,559,1624,1006,618,1299,1006,293,325,0,325,2805,2056,749,2571,2056,515,234,0,234,432,100,332,432,100,332,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",15322,9678,5644,12194,8283,3911,3128,1395,1733,4452,2225,2227,4036,2082,1954,416,143,273,9072,6684,2388,7215,5854,1361,1857,830,1027,1798,769,1029,943,347,596,855,422,433
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,33758,20875,12883,28252,18691,9561,5506,2184,3322,11185,7007,4178,7874,5746,2128,3311,1261,2050,16845,9538,7307,15003,8615,6388,1842,923,919,5728,4330,1398,5375,4330,1045,353,0,353
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",7803,4171,3632,6988,3903,3085,815,268,547,6185,3171,3014,5606,3070,2536,579,101,478,1495,1000,495,1259,833,426,236,167,69,123,0,123,123,0,123,0,0,0
41,Suffolk County (Central)--Islip Town (East) PUMA,2412,1170,1242,2259,1170,1089,153,0,153,1502,734,768,1349,734,615,153,0,153,749,436,313,749,436,313,0,0,0,161,0,161,161,0,161,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",6196,2606,3590,5089,2227,2862,1107,379,728,2870,1073,1797,2280,694,1586,590,379,211,2627,1197,1430,2362,1197,1165,265,0,265,699,336,363,447,336,111,252,0,252
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",33614,16879,16735,26740,14914,11826,6874,1965,4909,13023,5687,7336,10470,4690,5780,2553,997,1556,16112,8554,7558,12975,7785,5190,3137,769,2368,4479,2638,1841,3295,2439,856,1184,199,985
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,32689,18899,13790,27570,16996,10574,5119,1903,3216,7601,3176,4425,6351,2671,3680,1250,505,745,17922,10532,7390,15084,9625,5459,2838,907,1931,7166,5191,1975,6135,4700,1435,1031,491,540
45,Saratoga County (Outer) PUMA,1374,627,747,969,627,342,405,0,405,707,573,134,644,573,71,63,0,63,667,54,613,325,54,271,342,0,342,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",10561,4791,5770,7471,4031,3440,3090,760,2330,3155,1078,2077,2660,945,1715,495,133,362,5696,2785,2911,3706,2549,1157,1990,236,1754,1710,928,782,1105,537,568,605,391,214
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",26490,11739,14751,21894,9704,12190,4596,2035,2561,13228,4910,8318,11864,4286,7578,1364,624,740,11547,5610,5937,8822,4423,4399,2725,1187,1538,1715,1219,496,1208,995,213,507,224,283
48,Wayne & Seneca Counties PUMA,703,180,523,559,160,399,144,20,124,284,160,124,160,160,0,124,0,124,419,20,399,399,0,399,20,20,0,0,0,0,0,0,0,0,0,0
49,Schenectady County--Schenectady City PUMA,2856,1579,1277,2856,1579,1277,0,0,0,1331,732,599,1331,732,599,0,0,0,1468,790,678,1468,790,678,0,0,0,57,57,0,57,57,0,0,0,0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,15601,8992,6609,13405,7959,5446,2196,1033,1163,8151,4282,3869,7373,3997,3376,778,285,493,5934,3917,2017,4724,3213,1511,1210,704,506,1516,793,723,1308,749,559,208,44,164
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,11009,5995,5014,8851,5597,3254,2158,398,1760,6727,3870,2857,5573,3585,1988,1154,285,869,3353,1762,1591,2546,1649,897,807,113,694,929,363,566,732,363,369,197,0,197
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,9256,5830,3426,7715,5512,2203,1541,318,1223,2343,849,1494,1863,849,1014,480,0,480,5243,4161,1082,4999,4161,838,244,0,244,1670,820,850,853,502,351,817,318,499
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",20216,10120,10096,16690,8356,8334,3526,1764,1762,15622,7064,8558,14071,6681,7390,1551,383,1168,4427,2983,1444,2452,1602,850,1975,1381,594,167,73,94,167,73,94,0,0,0
54,Columbia & Greene Counties PUMA,802,377,425,691,377,314,111,0,111,353,200,153,266,200,66,87,0,87,424,177,247,400,177,223,24,0,24,25,0,25,25,0,25,0,0,0
55,Rensselaer County--Troy City PUMA,3046,1913,1133,2696,1869,827,350,44,306,2667,1747,920,2495,1703,792,172,44,128,344,166,178,166,166,0,178,0,178,35,0,35,35,0,35,0,0,0
56,Erie County (West Central)--Buffalo City (West) PUMA,4472,2458,2014,3024,1291,1733,1448,1167,281,1411,827,584,991,469,522,420,358,62,1357,691,666,1077,630,447,280,61,219,1704,940,764,956,192,764,748,748,0
57,Erie County (South) PUMA,1015,617,398,617,617,0,398,0,398,134,134,0,134,134,0,0,0,0,881,483,398,483,483,0,398,0,398,0,0,0,0,0,0,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4924,2755,2169,4043,2514,1529,881,241,640,1337,714,623,1201,662,539,136,52,84,2916,1542,1374,2488,1498,990,428,44,384,671,499,172,354,354,0,317,145,172
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",28312,17198,11114,22571,14439,8132,5741,2759,2982,9918,4749,5169,8875,4102,4773,1043,647,396,15797,9959,5838,11773,8521,3252,4024,1438,2586,2597,2490,107,1923,1816,107,674,674,0
