,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,3668,2025,1643,3668,2025,1643,0,0,0,2485,1471,1014,2485,1471,1014,0,0,0,1096,467,629,1096,467,629,0,0,0,87,87,0,87,87,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",13567,7858,5709,12959,7588,5371,608,270,338,2722,1514,1208,2722,1514,1208,0,0,0,7160,4101,3059,6812,3943,2869,348,158,190,3685,2243,1442,3425,2131,1294,260,112,148
27,St. Lawrence County PUMA,1108,693,415,921,693,228,187,0,187,950,693,257,894,693,201,56,0,56,146,0,146,15,0,15,131,0,131,12,0,12,12,0,12,0,0,0
28,Columbia & Greene Counties PUMA,729,304,425,729,304,425,0,0,0,280,127,153,280,127,153,0,0,0,424,177,247,424,177,247,0,0,0,25,0,25,25,0,25,0,0,0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7567,3753,3814,7501,3687,3814,66,66,0,5884,2719,3165,5818,2653,3165,66,66,0,1459,810,649,1459,810,649,0,0,0,224,224,0,224,224,0,0,0,0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",25795,15121,10674,25346,14920,10426,449,201,248,13290,7346,5944,13062,7217,5845,228,129,99,11097,7095,4002,10876,7023,3853,221,72,149,1408,680,728,1408,680,728,0,0,0
31,Monroe County (North & West) PUMA,282,196,86,282,196,86,0,0,0,0,0,0,0,0,0,0,0,0,139,53,86,139,53,86,0,0,0,143,143,0,143,143,0,0,0,0
32,Schenectady County--Schenectady City PUMA,2856,1579,1277,2856,1579,1277,0,0,0,1331,732,599,1331,732,599,0,0,0,1468,790,678,1468,790,678,0,0,0,57,57,0,57,57,0,0,0,0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",8710,4002,4708,8418,4002,4416,292,0,292,2078,992,1086,2078,992,1086,0,0,0,4507,1916,2591,4215,1916,2299,292,0,292,2125,1094,1031,2125,1094,1031,0,0,0
34,Niagara County (North & East) PUMA,408,295,113,408,295,113,0,0,0,294,201,93,294,201,93,0,0,0,98,78,20,98,78,20,0,0,0,16,16,0,16,16,0,0,0,0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,4940,3241,1699,4861,3162,1699,79,79,0,1703,1085,618,1624,1006,618,79,79,0,2805,2056,749,2805,2056,749,0,0,0,432,100,332,432,100,332,0,0,0
36,Suffolk County (East) PUMA,9387,5088,4299,9010,5088,3922,377,0,377,1672,702,970,1672,702,970,0,0,0,5782,3185,2597,5492,3185,2307,290,0,290,1933,1201,732,1846,1201,645,87,0,87
37,Warren & Washington Counties PUMA,1168,547,621,1117,547,570,51,0,51,686,384,302,686,384,302,0,0,0,247,129,118,247,129,118,0,0,0,235,34,201,184,34,150,51,0,51
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,25740,12147,13593,25225,11841,13384,515,306,209,18214,7947,10267,17699,7641,10058,515,306,209,7083,3812,3271,7083,3812,3271,0,0,0,443,388,55,443,388,55,0,0,0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",6196,2606,3590,6196,2606,3590,0,0,0,2870,1073,1797,2870,1073,1797,0,0,0,2627,1197,1430,2627,1197,1430,0,0,0,699,336,363,699,336,363,0,0,0
40,Westchester County (Central)--White Plains City PUMA,14988,8926,6062,14753,8866,5887,235,60,175,7892,4400,3492,7657,4340,3317,235,60,175,5936,4004,1932,5936,4004,1932,0,0,0,1160,522,638,1160,522,638,0,0,0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",13078,7073,6005,12604,6844,5760,474,229,245,3075,1350,1725,3075,1350,1725,0,0,0,7522,3901,3621,7076,3672,3404,446,229,217,2481,1822,659,2453,1822,631,28,0,28
42,Erie County (North Central) PUMA,4113,2234,1879,3872,2098,1774,241,136,105,3109,1596,1513,2868,1460,1408,241,136,105,628,477,151,628,477,151,0,0,0,376,161,215,376,161,215,0,0,0
43,Chautauqua County PUMA,860,462,398,860,462,398,0,0,0,419,180,239,419,180,239,0,0,0,227,227,0,227,227,0,0,0,0,214,55,159,214,55,159,0,0,0
44,Dutchess County (Southwest) PUMA,7368,3633,3735,6858,3504,3354,510,129,381,2576,1399,1177,2509,1332,1177,67,67,0,3692,2032,1660,3249,1970,1279,443,62,381,1100,202,898,1100,202,898,0,0,0
