,puma,Unemployment_HSINC_score,FT_Work_HSINC_score,Poverty_HSINC_score,Working_Poor_HSINC_score,Rent_Burden_HSINC_score,Home_Ownership_HSINC_score,Income_level_HSINC_score,Overall_HSINC_score,Unemployment_HSINC_grade,FT_Work_HSINC_grade,Poverty_HSINC_grade,Working_Poor_HSINC_grade,Rent_Burden_HSINC_grade,Home_Ownership_HSINC_grade,Income_level_HSINC_grade,Overall_HSINC_grade
0,Total Geo,-0.21728931900680198,0.013276027659126971,-0.15959824812127446,-0.21264751475256297,0.08973653409637335,-0.3617580487553645,-0.15826756639412132,-0.14379259075351783,C,C,C,C,C,C-,C,C
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.5141138586131448,-1.1908505466966361,-0.884794870756128,-1.2612503445037295,0.07033667184521426,0.7032087777820176,0.4467645269229969,-0.2289245609704457,B-,D,D,D-,C,B-,B-,C
2,"Chenango, Delaware & Broome (East) Counties PUMA",0.5141138586131448,1.0103303563518595,0.4688048706933604,-0.047984337971399546,1.2234638671814102,-0.9958401309726471,-0.5159554720222782,0.23670471598192147,B-,B,B-,C,B,D,C-,C
3,Cayuga & Onondaga (South) Counties PUMA,0.5141138586131448,-2.7498045509733355,1.4215073914207594,#DIV/0!,#DIV/0!,1.9870406779365255,#DIV/0!,#DIV/0!,B-,E,A-,#DIV!0,#DIV!0,A,#DIV!0,#DIV!0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,-0.8289071905756294,0.1692998293523881,0.5644255420840691,0.6402473765832842,0.4714035767699936,-0.5700081810111308,-0.49638143328614853,-0.007131497154739097,D,C,B-,B-,B-,C-,C-,C
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.5141138586131448,0.7995195583131423,-0.512571221046222,-1.2801167187618274,-0.16976634213304767,0.8741489475668067,-0.18790650495427969,0.005345939656816726,B-,B,C-,D-,C,B,C,C
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",0.08688415836157651,0.6884134315535002,0.541528996546163,0.6082994662831804,0.5783775628449236,-0.11973573950786089,0.09498528708924055,0.35410759473867476,C,B-,B-,B-,B-,C,C,B-
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.5141138586131448,1.0103303563518595,1.4215073914207594,0.960836291769571,1.2234638671814102,-0.0015465280029230799,1.9020945230857773,1.0043999657742284,B-,B,A-,B,B,C,A,B
8,Erie County (Northwest) PUMA,0.5141138586131448,1.0103303563518595,1.4215073914207594,0.960836291769571,#DIV/0!,1.9870406779365255,-0.10132810244745692,#DIV/0!,B-,B,A-,B,#DIV!0,A,C,#DIV!0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,#DIV/0!,-1.817681179052397,#DIV/0!,1.2234638671814102,-0.9958401309726471,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,E,#DIV!0,B,D,#DIV!0,#DIV!0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,1.0103303563518595,-0.5283988861995945,-2.4691538493497283,-1.9579844973871716,-0.9958401309726471,-2.035620603889947,#DIV/0!,#DIV!0,B,C-,E,E,D,E,#DIV!0
11,Saratoga County (South & Central) PUMA,0.5141138586131448,1.0103303563518595,-1.1005176579144287,-1.3537099010182492,#DIV/0!,1.9870406779365255,-0.27391016437110144,#DIV/0!,B-,B,D,D-,#DIV!0,A,C-,#DIV!0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,-1.8209578699124345,-2.1379482790713067,-1.0246673969028808,0.960836291769571,-1.4529926934873967,-0.690597146641268,-0.7919479235994128,-0.9940392882635898,E,E,D,B,D-,C-,D,D
13,Columbia & Greene Counties PUMA,0.5141138586131448,1.0103303563518595,1.4215073914207594,0.960836291769571,1.2234638671814102,-0.9958401309726471,-0.8180252400245844,0.4737694849056447,B-,B,A-,B,B,D,D,B-
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.5141138586131448,0.1266986531304387,-0.1762594775727382,0.960836291769571,-1.9579844973871716,1.3438318781717444,4.462295469059905,0.7533617393978419,B-,C,C,B,E,A-,A,B
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.5141138586131448,-2.7498045509733355,-1.817681179052397,#DIV/0!,-1.9579844973871716,-0.86439114617326,#DIV/0!,#DIV/0!,B-,E,E,#DIV!0,E,D,#DIV!0,#DIV!0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,-0.7665333270831038,0.31466136881394297,-0.2115554533604058,0.5370156708841403,-0.4438507386943465,0.31265851908938086,-0.7060520526158913,-0.13766514470946903,D,B-,C,B-,C-,B-,C-,C
17,Putnam County PUMA,0.5141138586131448,-0.562045645487091,-0.13018774992180693,0.47463613887558387,-0.10692272341460121,-0.8671091466177506,0.05786194943200879,-0.08852190264578745,B-,C-,C,B-,C,D,C,C
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.5141138586131448,0.7113722618164857,-0.20596174447337118,0.8898997560043299,-0.09150862156686254,-0.625195838131421,4.34492611025219,0.7910922546449279,B-,B-,C,B,C,C-,A,B
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,-0.4848187589369492,0.09855352543720113,-0.09252602809752963,-0.2201540132582413,0.3298255286132079,-0.6227806512772156,-0.19488054008794542,-0.1695401339439246,C-,C,C,C,B-,C-,C,C
20,Rockland County (North)--New City & Congers PUMA,-1.4385772316555128,-0.6973932153784466,0.09256811250779448,0.30250229837454456,0.4030491579196859,-0.5385939451602989,-0.27734782022644533,-0.30768466337409694,D-,C-,C,B-,B-,C-,C-,C-
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",-0.2885537931191884,-0.05398022803084766,-0.48064954597794934,-0.11757663400022748,0.36764616639890396,-0.8123378400951317,-0.760033365830639,-0.30649789152215423,C-,C,C-,C,B-,D,D,C-
22,Orange County (Northwest) PUMA,0.5141138586131448,-1.701264073959224,-0.23204065241616625,-1.5132549575623826,-1.9579844973871716,0.464333179048929,-0.9291560165278443,-0.7650361657415304,B-,D-,C,D-,E,B-,D,D
