,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,227814,130085,97729,168823,110633,58190,58991,19452,39539
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",2379,1848,531,2228,1848,380,151,0,151
2,Ulster County (East) PUMA,952,614,338,602,602,0,350,12,338
3,Albany County (East Central)--Albany City PUMA,588,558,30,588,558,30,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,161,0,161,161,0,161,0,0,0
5,Ontario & Yates Counties PUMA,164,82,82,164,82,82,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,146,146,0,146,146,0,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1381,1190,191,1181,1046,135,200,144,56
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",93,39,54,93,39,54,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,775,442,333,677,344,333,98,98,0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",4573,2653,1920,3608,2355,1253,965,298,667
11,Livingston & Wyoming Counties PUMA,19,19,0,19,19,0,0,0,0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,7364,2635,4729,3551,1832,1719,3813,803,3010
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1032,227,805,867,227,640,165,0,165
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,222,86,136,222,86,136,0,0,0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,291,143,148,100,66,34,191,77,114
16,Monroe County (Central)--Rochester City (East) PUMA,336,88,248,216,88,128,120,0,120
17,Westchester County (Northwest) PUMA,2633,1731,902,2281,1731,550,352,0,352
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,642,0,642,642,0,642,0,0,0
19,Onondaga County (Central)--Syracuse City PUMA,1690,954,736,1086,733,353,604,221,383
20,Westchester County (Northeast) PUMA,403,317,86,171,85,86,232,232,0
21,Madison & Cortland Counties PUMA,14,14,0,0,0,0,14,14,0
22,Erie County (West Central)--Buffalo City (West) PUMA,1114,562,552,693,354,339,421,208,213
23,Monroe County (Central)--Rochester City (West) PUMA,719,325,394,492,262,230,227,63,164
24,Suffolk County (Central)--Islip Town (East) PUMA,0,0,0,0,0,0,0,0,0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,43,43,0,43,43,0,0,0,0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",8257,4061,4196,6260,3972,2288,1997,89,1908
27,St. Lawrence County PUMA,50,0,50,50,0,50,0,0,0
