,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,337499.0,151230.0,186269.0,80634.0,33737.0,46897.0,256865.0,117493.0,139372.0
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",3672.0,1809.0,1863.0,207.0,0.0,207.0,3465.0,1809.0,1656.0
2,Ulster County (East) PUMA,1085.0,747.0,338.0,648.0,310.0,338.0,437.0,437.0,0.0
3,Albany County (East Central)--Albany City PUMA,660.0,630.0,30.0,102.0,72.0,30.0,558.0,558.0,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,161.0,0.0,161.0,161.0,0.0,161.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,164.0,82.0,82.0,164.0,82.0,82.0,0.0,0.0,0.0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,317.0,146.0,171.0,317.0,146.0,171.0,0.0,0.0,0.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2460.0,1691.0,769.0,56.0,0.0,56.0,2404.0,1691.0,713.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",39.0,39.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1314.0,619.0,695.0,1145.0,487.0,658.0,169.0,132.0,37.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",6407.0,2902.0,3505.0,78.0,0.0,78.0,6329.0,2902.0,3427.0
11,Livingston & Wyoming Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,9631.0,3294.0,6337.0,246.0,0.0,246.0,9385.0,3294.0,6091.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1745.0,227.0,1518.0,1210.0,182.0,1028.0,535.0,45.0,490.0
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,453.0,86.0,367.0,182.0,0.0,182.0,271.0,86.0,185.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,458.0,143.0,315.0,320.0,77.0,243.0,138.0,66.0,72.0
16,Monroe County (Central)--Rochester City (East) PUMA,694.0,160.0,534.0,24.0,0.0,24.0,670.0,160.0,510.0
17,Westchester County (Northwest) PUMA,3672.0,1932.0,1740.0,952.0,429.0,523.0,2720.0,1503.0,1217.0
