,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,168641,110504,58137,117248,77872,39376,51393,32632,18761
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",2228,1848,380,1227,1227,0,1001,621,380
2,Ulster County (East) PUMA,602,602,0,304,304,0,298,298,0
3,Albany County (East Central)--Albany City PUMA,588,558,30,588,558,30,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,161,0,161,161,0,161,0,0,0
5,Ontario & Yates Counties PUMA,164,82,82,164,82,82,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,146,146,0,0,0,0,146,146,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1181,1046,135,1046,1046,0,135,0,135
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",93,39,54,39,39,0,54,0,54
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,677,344,333,524,279,245,153,65,88
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",3608,2355,1253,2156,1615,541,1452,740,712
11,Livingston & Wyoming Counties PUMA,19,19,0,19,19,0,0,0,0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,3551,1832,1719,2188,818,1370,1363,1014,349
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,867,227,640,330,227,103,537,0,537
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,222,86,136,136,0,136,86,86,0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,100,66,34,100,66,34,0,0,0
16,Monroe County (Central)--Rochester City (East) PUMA,216,88,128,216,88,128,0,0,0
17,Westchester County (Northwest) PUMA,2152,1602,550,1427,893,534,725,709,16
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,642,0,642,335,0,335,307,0,307
19,Onondaga County (Central)--Syracuse City PUMA,1086,733,353,810,573,237,276,160,116
20,Westchester County (Northeast) PUMA,171,85,86,85,85,0,86,0,86
21,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0
22,Erie County (West Central)--Buffalo City (West) PUMA,693,354,339,373,294,79,320,60,260
23,Monroe County (Central)--Rochester City (West) PUMA,492,262,230,99,53,46,393,209,184
24,Suffolk County (Central)--Islip Town (East) PUMA,0,0,0,0,0,0,0,0,0
