,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,273026,160791,112235,251956,150765,101191,21070,10026,11044
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,1927,0,1927,1927,0,1927,0,0,0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,742,135,607,742,135,607,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,955,546,409,821,546,275,134,0,134
4,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0
5,Ontario & Yates Counties PUMA,120,49,71,120,49,71,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,183,0,183,183,0,183,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1827,1415,412,1552,1415,137,275,0,275
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",21,21,0,21,21,0,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,322,161,161,322,161,161,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1661,959,702,1661,959,702,0,0,0
11,Erie County (Northwest) PUMA,0,0,0,0,0,0,0,0,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2779,1844,935,2023,1207,816,756,637,119
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,3607,2374,1233,3501,2268,1233,106,106,0
14,Rockland County (North)--New City & Congers PUMA,1012,833,179,1012,833,179,0,0,0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",42,21,21,42,21,21,0,0,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,21262,12483,8779,20072,11842,8230,1190,641,549
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,10504,6369,4135,10378,6312,4066,126,57,69
18,Tompkins County PUMA,13,13,0,13,13,0,0,0,0
19,Dutchess County (Southwest) PUMA,1030,789,241,1030,789,241,0,0,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3583,2083,1500,3358,1994,1364,225,89,136
21,Westchester County (Northwest) PUMA,3466,1991,1475,3222,1747,1475,244,244,0
22,Albany County (Outside Albany City) PUMA,0,0,0,0,0,0,0,0,0
23,Monroe County (South) PUMA,1007,239,768,849,239,610,158,0,158
24,Jefferson & Lewis Counties PUMA,132,37,95,132,37,95,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",0,0,0,0,0,0,0,0,0
26,Erie County (Central) PUMA,0,0,0,0,0,0,0,0,0
27,St. Lawrence County PUMA,0,0,0,0,0,0,0,0,0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",3681,1409,2272,3573,1409,2164,108,0,108
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0,0,0,0,0,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3037,1198,1839,2693,1187,1506,344,11,333
31,Cayuga & Onondaga (South) Counties PUMA,96,96,0,96,96,0,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,65,0,65,65,0,65,0,0,0
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,172,146,26,172,146,26,0,0,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,407,272,135,407,272,135,0,0,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,540,540,0,540,540,0,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",5635,3558,2077,5167,3090,2077,468,468,0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7235,4078,3157,6704,3908,2796,531,170,361
