,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
27,St. Lawrence County PUMA,16,0,16,0,0,0,16,0,16
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",5772,2157,3615,2299,803,1496,3473,1354,2119
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,457,100,357,457,100,357,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3467,1431,2036,2217,1045,1172,1250,386,864
31,Cayuga & Onondaga (South) Counties PUMA,109,109,0,96,96,0,13,13,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,192,127,65,127,127,0,65,0,65
33,Fulton & Montgomery Counties PUMA,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,553,346,207,99,0,99,454,346,108
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,813,272,541,215,68,147,598,204,394
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0,0,0,0,0,0,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,1242,663,579,508,252,256,734,411,323
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",8378,4127,4251,4072,2644,1428,4306,1483,2823
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,11639,5384,6255,6776,3185,3591,4863,2199,2664
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1510,1071,439,1133,946,187,377,125,252
41,Suffolk County (Central)--Islip Town (East) PUMA,123,0,123,123,0,123,0,0,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1962,84,1878,1775,84,1691,187,0,187
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",21572,9810,11762,13436,6251,7185,8136,3559,4577
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,20906,10983,9923,12799,7550,5249,8107,3433,4674
45,Saratoga County (Outer) PUMA,0,0,0,0,0,0,0,0,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2108,1477,631,1615,1099,516,493,378,115
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",5457,2882,2575,2982,1897,1085,2475,985,1490
48,Wayne & Seneca Counties PUMA,197,197,0,197,197,0,0,0,0
49,Schenectady County--Schenectady City PUMA,752,307,445,565,307,258,187,0,187
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,6166,2986,3180,1821,723,1098,4345,2263,2082
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0,0,0,0,0,0,0,0,0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2932,1176,1756,2540,1056,1484,392,120,272
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",1455,1245,210,1284,1167,117,171,78,93
54,Columbia & Greene Counties PUMA,170,170,0,170,170,0,0,0,0
55,Rensselaer County--Troy City PUMA,630,113,517,248,0,248,382,113,269
56,Erie County (West Central)--Buffalo City (West) PUMA,1836,912,924,46,0,46,1790,912,878
57,Erie County (South) PUMA,18,18,0,0,0,0,18,18,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1566,515,1051,539,279,260,1027,236,791
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",17885,9585,8300,8460,5131,3329,9425,4454,4971
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,4013,2129,1884,1690,958,732,2323,1171,1152
61,NYC-Manhattan Community District 10--Central Harlem PUMA,1023,447,576,591,311,280,432,136,296
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,2617,1343,1274,1218,624,594,1399,719,680
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1653,718,935,218,218,0,1435,500,935
64,Albany County (East Central)--Albany City PUMA,267,154,113,207,154,53,60,0,60
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,2824,1118,1706,751,430,321,2073,688,1385
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,86,0,86,86,0,86,0,0,0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",9502,4123,5379,5178,2695,2483,4324,1428,2896
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",10592,4893,5699,3563,1605,1958,7029,3288,3741
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",3908,1505,2403,1845,866,979,2063,639,1424
70,Erie County (Northeast) PUMA,60,60,0,0,0,0,60,60,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,3128,1321,1807,1418,1020,398,1710,301,1409
72,Orange County (Southeast) PUMA,555,493,62,187,187,0,368,306,62
73,Westchester County (Southeast) PUMA,2678,907,1771,1839,584,1255,839,323,516
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,4505,1620,2885,2458,1003,1455,2047,617,1430
75,Livingston & Wyoming Counties PUMA,81,27,54,75,27,48,6,0,6
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,226,22,204,204,0,204,22,22,0
77,Westchester County (Southwest)--Yonkers City PUMA,2673,1832,841,830,700,130,1843,1132,711
78,Erie County (North Central) PUMA,149,68,81,0,0,0,149,68,81
79,Saratoga County (South & Central) PUMA,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,676,150,526,676,150,526,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",558,40,518,558,40,518,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0,0,0,0,0,0,0,0,0
83,Niagara County (North & East) PUMA,19,19,0,19,19,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,1105,328,777,474,328,146,631,0,631
85,Warren & Washington Counties PUMA,29,29,0,29,29,0,0,0,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1648,847,801,399,150,249,1249,697,552
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,841,353,488,266,184,82,575,169,406
88,Onondaga County (Central)--Syracuse City PUMA,1400,685,715,897,485,412,503,200,303
89,Westchester County (Central)--White Plains City PUMA,2778,1518,1260,2017,1039,978,761,479,282
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,2194,1059,1135,1353,914,439,841,145,696
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",11497,5753,5744,4668,2503,2165,6829,3250,3579
92,Cattaraugus & Allegany Counties PUMA,66,26,40,26,26,0,40,0,40
93,Oswego County PUMA,101,13,88,101,13,88,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",4877,2886,1991,3037,1981,1056,1840,905,935
95,Monroe County (East) PUMA,783,0,783,397,0,397,386,0,386
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4405,2284,2121,2695,1446,1249,1710,838,872
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",1985,776,1209,1077,416,661,908,360,548
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",6350,2940,3410,2564,1601,963,3786,1339,2447
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",318,42,276,225,0,225,93,42,51
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",3495,1637,1858,2159,977,1182,1336,660,676
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0,0,0,0,0,0,0,0,0
102,Chautauqua County PUMA,311,127,184,220,127,93,91,0,91
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1996,390,1606,1223,340,883,773,50,723
104,Erie County (West Central)--Buffalo City (East) PUMA,619,150,469,180,98,82,439,52,387
105,Genesee & Orleans Counties PUMA,187,65,122,187,65,122,0,0,0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",4174,2143,2031,2310,1393,917,1864,750,1114
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",68,0,68,68,0,68,0,0,0
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,1593,700,893,69,0,69,1524,700,824
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",9076,3756,5320,3471,1923,1548,5605,1833,3772
110,Suffolk County (East) PUMA,693,540,153,260,260,0,433,280,153
111,Orange County (Northwest) PUMA,192,192,0,138,138,0,54,54,0
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,303,180,123,90,0,90,213,180,33
113,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",4997,1941,3056,1921,1029,892,3076,912,2164
114,Suffolk County (Northwest)--Smithtown Town PUMA,51,0,51,51,0,51,0,0,0
115,Ulster County (East) PUMA,373,157,216,373,157,216,0,0,0
116,Westchester County (Northeast) PUMA,891,891,0,731,731,0,160,160,0
117,NYC-Brooklyn Community District 4--Bushwick PUMA,6502,2995,3507,3797,1968,1829,2705,1027,1678
118,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,7676,3342,4334,3359,1658,1701,4317,1684,2633
119,Dutchess County (North & East) PUMA,434,43,391,333,0,333,101,43,58
120,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,12373,6444,5929,7367,3831,3536,5006,2613,2393
121,Broome (Outer West) & Tioga Counties PUMA,97,97,0,0,0,0,97,97,0
122,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",483,181,302,483,181,302,0,0,0
123,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",760,16,744,488,0,488,272,16,256
124,Orange County (Northeast)--Greater Newburgh City PUMA,558,336,222,322,203,119,236,133,103
125,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",1089,423,666,416,137,279,673,286,387
126,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,1675,602,1073,756,58,698,919,544,375
127,Onondaga County (North) PUMA,112,112,0,112,112,0,0,0,0
128,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,484,69,415,157,69,88,327,0,327
129,Monroe County (North & West) PUMA,0,0,0,0,0,0,0,0,0
130,Sullivan & Ulster (West) Counties PUMA,621,260,361,487,185,302,134,75,59
131,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,625,216,409,395,82,313,230,134,96
132,Suffolk County (Northwest)--Huntington Town (North) PUMA,2528,1351,1177,1004,681,323,1524,670,854
133,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",4486,2653,1833,2892,2058,834,1594,595,999
134,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1912,611,1301,1710,611,1099,202,0,202
135,Monroe County (Central)--Rochester City (West) PUMA,1744,791,953,1177,697,480,567,94,473
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,2985,1719,1266,2505,1399,1106,480,320,160
137,Suffolk County (Central)--Islip Town (Northwest) PUMA,7855,4043,3812,4818,2182,2636,3037,1861,1176
138,Putnam County PUMA,518,422,96,518,422,96,0,0,0
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,8246,3434,4812,5556,2597,2959,2690,837,1853
140,Nassau County (Central)--Hempstead Town (East Central) PUMA,0,0,0,0,0,0,0,0,0
141,Suffolk County (Northwest)--Huntington Town (South) PUMA,649,212,437,302,212,90,347,0,347
142,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",13356,5866,7490,4904,2602,2302,8452,3264,5188
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,405,0,405,405,0,405,0,0,0
144,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,5344,1476,3868,2484,730,1754,2860,746,2114
145,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",2399,931,1468,1302,656,646,1097,275,822
146,Capital Region,1848,773,1075,1219,660,559,629,113,516
147,Central NY,2275,1265,1010,1305,706,599,970,559,411
148,Finger Lakes,5518,1696,3822,3242,1422,1820,2276,274,2002
149,Long Island,44761,21968,22793,25845,12607,13238,18916,9361,9555
150,Mid-Hudson,27592,14234,13358,16455,8259,8196,11137,5975,5162
151,Mohawk Valley,1608,536,1072,539,279,260,1069,257,812
152,New York City,318135,146577,171558,159170,82932,76238,158965,63645,95320
153,North Country,216,58,158,58,58,0,158,0,158
154,Southern Tier,567,290,277,257,13,244,310,277,33
155,Western NY,3627,1380,2247,491,270,221,3136,1110,2026
