,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",2108.0,1477.0,631.0,574.0,216.0,358.0,1534.0,1261.0,273.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",5444.0,2879.0,2565.0,2688.0,1356.0,1332.0,2756.0,1523.0,1233.0
48,Wayne & Seneca Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Schenectady County--Schenectady City PUMA,752.0,307.0,445.0,685.0,307.0,378.0,67.0,0.0,67.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,6150.0,2986.0,3164.0,1423.0,493.0,930.0,4727.0,2493.0,2234.0
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2932.0,1176.0,1756.0,2659.0,1056.0,1603.0,273.0,120.0,153.0
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",1455.0,1245.0,210.0,0.0,0.0,0.0,1455.0,1245.0,210.0
54,Columbia & Greene Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Rensselaer County--Troy City PUMA,630.0,113.0,517.0,0.0,0.0,0.0,630.0,113.0,517.0
56,Erie County (West Central)--Buffalo City (West) PUMA,1836.0,912.0,924.0,583.0,415.0,168.0,1253.0,497.0,756.0
57,Erie County (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,1566.0,515.0,1051.0,552.0,279.0,273.0,1014.0,236.0,778.0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",17885.0,9585.0,8300.0,102.0,0.0,102.0,17783.0,9585.0,8198.0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,4013.0,2129.0,1884.0,1314.0,778.0,536.0,2699.0,1351.0,1348.0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,1023.0,447.0,576.0,0.0,0.0,0.0,1023.0,447.0,576.0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,2617.0,1343.0,1274.0,1676.0,905.0,771.0,941.0,438.0,503.0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1653.0,718.0,935.0,389.0,218.0,171.0,1264.0,500.0,764.0
64,Albany County (East Central)--Albany City PUMA,267.0,154.0,113.0,110.0,57.0,53.0,157.0,97.0,60.0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,2824.0,1118.0,1706.0,2299.0,1048.0,1251.0,525.0,70.0,455.0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,86.0,0.0,86.0,0.0,0.0,0.0,86.0,0.0,86.0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",9492.0,4123.0,5369.0,209.0,72.0,137.0,9283.0,4051.0,5232.0
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",10429.0,4882.0,5547.0,162.0,43.0,119.0,10267.0,4839.0,5428.0
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",3908.0,1505.0,2403.0,439.0,0.0,439.0,3469.0,1505.0,1964.0
70,Erie County (Northeast) PUMA,60.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0
71,NYC-Manhattan Community District 11--East Harlem PUMA,3128.0,1321.0,1807.0,0.0,0.0,0.0,3128.0,1321.0,1807.0
72,Orange County (Southeast) PUMA,555.0,493.0,62.0,0.0,0.0,0.0,555.0,493.0,62.0
73,Westchester County (Southeast) PUMA,2678.0,907.0,1771.0,377.0,96.0,281.0,2301.0,811.0,1490.0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,4505.0,1620.0,2885.0,479.0,196.0,283.0,4026.0,1424.0,2602.0
75,Livingston & Wyoming Counties PUMA,81.0,27.0,54.0,48.0,0.0,48.0,33.0,27.0,6.0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,204.0,0.0,204.0,204.0,0.0,204.0,0.0,0.0,0.0
77,Westchester County (Southwest)--Yonkers City PUMA,2673.0,1832.0,841.0,373.0,243.0,130.0,2300.0,1589.0,711.0
78,Erie County (North Central) PUMA,149.0,68.0,81.0,149.0,68.0,81.0,0.0,0.0,0.0
79,Saratoga County (South & Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,676.0,150.0,526.0,376.0,114.0,262.0,300.0,36.0,264.0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",558.0,40.0,518.0,558.0,40.0,518.0,0.0,0.0,0.0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Niagara County (North & East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Monroe County (Central)--Rochester City (East) PUMA,1105.0,328.0,777.0,448.0,49.0,399.0,657.0,279.0,378.0
85,Warren & Washington Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
