,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,86.64650600167488,90.60611057454477,82.78460654796093,80.65389429821983,88.31125480076813,70.90898676900166,79.1595512418668,87.1105793566794,65.83235311132108
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",82.01022604951561,85.14399771884801,79.21019108280255,84.47927799548746,93.14357321876119,67.4074074074074,73.83015597920277,100.0,0.0
2,Ulster County (East) PUMA,52.20994475138122,100.0,34.63476070528967,98.82777276825969,100.0,98.3790523690773,21.119592875318066,100.0,0.0
3,Albany County (East Central)--Albany City PUMA,80.2536231884058,73.18255250403877,84.47444551591128,96.33563462559745,94.43099273607749,100.0,76.64670658682635,76.64670658682635,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,100.0,100.0,100.0,100.0,100.0,#DIV/0!,100.0,#DIV/0!,100.0
5,Ontario & Yates Counties PUMA,32.78688524590164,68.2051282051282,9.215017064846416,70.34883720930233,#DIV/0!,70.34883720930233,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,88.53974121996303,93.55191256830601,61.07784431137725,54.100367197062425,100.0,51.42487046632125,100.0,#DIV/0!,100.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,93.2114374635285,100.0,85.2431289640592,72.86760858189429,93.75,58.214603739982195,100.0,100.0,100.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",100.0,100.0,100.0,100.0,#DIV/0!,100.0,100.0,#DIV/0!,100.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,90.8695652173913,100.0,83.65758754863813,75.13043478260869,90.75630252100841,0.0,79.19463087248322,100.0,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",69.40816893581551,65.90355577204092,74.0620957309185,86.04960677555958,93.20937752627324,75.3693096171239,67.67252689582787,84.71164309031556,51.79929042067917
11,Livingston & Wyoming Counties PUMA,100.0,100.0,100.0,100.0,#DIV/0!,100.0,10.5,100.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,76.88906752411575,86.45383951682484,68.54778028592928,82.22506393861893,93.05936073059361,72.7418065547562,100.0,#DIV/0!,100.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,80.57874234835838,100.0,66.21490803484996,96.36406844106465,100.0,78.83817427385893,51.07784431137724,61.21951219512195,41.294117647058826
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,41.787051899411445,60.16460905349794,7.64525993883792,46.842709529276696,0.0,50.37037037037037,71.29629629629629,100.0,0.0
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,88.14727308525299,92.7437641723356,81.02409638554217,82.76699029126213,97.53424657534246,71.0239651416122,78.96009673518742,100.0,62.5
16,Monroe County (Central)--Rochester City (East) PUMA,81.77874186550976,76.66666666666667,100.0,63.934426229508205,100.0,59.50920245398773,100.0,#DIV/0!,100.0
17,Westchester County (Northwest) PUMA,82.0754716981132,94.50736126840317,66.54879773691655,66.63195167673402,76.29009762900976,58.79245283018868,82.32421875,70.90032154340837,100.0
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,82.09219858156028,100.0,64.31095406360424,89.48734587929916,87.93445878848064,92.41573033707866,44.989775051124745,61.28133704735376,0.0
19,Onondaga County (Central)--Syracuse City PUMA,97.64851485148515,95.87404994571118,100.0,69.44971537001898,81.15577889447236,33.33333333333333,38.4083044982699,54.47154471544715,26.506024096385545
20,Westchester County (Northeast) PUMA,85.24681087077094,85.13119533527697,85.40051679586563,67.2055427251732,100.0,23.90139335476956,58.655043586550434,100.0,17.412935323383085
21,Madison & Cortland Counties PUMA,73.125,100.0,63.559322033898304,#DIV/0!,#DIV/0!,#DIV/0!,100.0,#DIV/0!,100.0
22,Erie County (West Central)--Buffalo City (West) PUMA,71.74427782162589,51.946308724832214,100.0,76.37130801687763,91.17221418234442,55.66801619433198,63.86105544422178,26.193724420190996,100.0
23,Monroe County (Central)--Rochester City (West) PUMA,37.06293706293706,37.06293706293706,#DIV/0!,47.136273864384464,65.599173553719,14.700544464609798,100.0,100.0,#DIV/0!
24,Suffolk County (Central)--Islip Town (East) PUMA,94.15156507413509,100.0,88.65814696485623,100.0,100.0,100.0,100.0,#DIV/0!,100.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,84.72121650977552,90.10989010989012,70.52631578947368,79.71014492753623,100.0,68.1260945709282,100.0,100.0,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",92.32182218956649,97.09379128137384,86.34105960264901,79.70625617850587,86.03351955307262,71.77855552020362,73.26962809917356,74.2509769865393,71.82919056724027
27,St. Lawrence County PUMA,76.65198237885463,100.0,0.0,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!
28,Columbia & Greene Counties PUMA,90.625,100.0,54.54545454545454,86.20689655172413,100.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,87.04965920155794,87.03999999999999,87.05625341343529,90.7843137254902,100.0,84.74025974025975,22.61904761904762,33.92857142857143,0.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",74.98305741117242,78.30832196452933,70.61590145576709,76.16120906801007,85.6234096692112,59.802034643937304,78.39272175890827,73.85159010600707,81.80610889774236
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",83.6801752464403,81.75965665236052,85.68232662192393,88.52883992222942,100.0,82.04868154158214,64.02470406587751,62.5,65.64156945917286
34,Niagara County (North & East) PUMA,100.0,100.0,100.0,100.0,#DIV/0!,100.0,100.0,100.0,100.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,62.60069044879172,100.0,19.35483870967742,87.98151001540832,100.0,50.73684210526316,100.0,#DIV/0!,100.0
36,Suffolk County (East) PUMA,82.0040899795501,100.0,72.06349206349206,72.37384645591989,81.32530120481928,62.61797291752155,89.03259182617693,100.0,71.03825136612022
37,Warren & Washington Counties PUMA,61.96868008948546,0.0,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,93.47134992633947,94.74097331240189,92.64196897833611,87.07466918714556,92.98434970318402,82.47162673392182,100.0,#DIV/0!,100.0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",83.52996696554979,74.44444444444444,86.63711209626345,91.2027199320017,100.0,82.09342560553632,63.94849785407726,100.0,30.57851239669421
40,Westchester County (Central)--White Plains City PUMA,89.92420864913063,97.1018492961634,81.55183515775917,80.65511919053336,80.96867596735983,80.06889763779527,66.53726708074534,89.95535714285714,54.047619047619044
