,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
14,Rockland County (North)--New City & Congers PUMA,11116.0,5580.0,5536.0,6825.0,3520.0,3305.0,4291.0,2060.0,2231.0,3841.0,1670.0,2171.0,2731.0,1088.0,1643.0,1110.0,582.0,528.0,5232.0,3127.0,2105.0,3057.0,1948.0,1109.0,2175.0,1179.0,996.0,2043.0,783.0,1260.0,1037.0,484.0,553.0,1006.0,299.0,707.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",720.0,371.0,349.0,408.0,185.0,223.0,312.0,186.0,126.0,395.0,151.0,244.0,189.0,71.0,118.0,206.0,80.0,126.0,197.0,120.0,77.0,91.0,14.0,77.0,106.0,106.0,0.0,128.0,100.0,28.0,128.0,100.0,28.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,16700.0,8821.0,7879.0,3761.0,2303.0,1458.0,12939.0,6518.0,6421.0,5854.0,2900.0,2954.0,1544.0,1003.0,541.0,4310.0,1897.0,2413.0,6590.0,3451.0,3139.0,1648.0,997.0,651.0,4942.0,2454.0,2488.0,4256.0,2470.0,1786.0,569.0,303.0,266.0,3687.0,2167.0,1520.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,37994.0,18765.0,19229.0,16734.0,7547.0,9187.0,21260.0,11218.0,10042.0,14824.0,6349.0,8475.0,7125.0,3282.0,3843.0,7699.0,3067.0,4632.0,18315.0,9367.0,8948.0,7869.0,3541.0,4328.0,10446.0,5826.0,4620.0,4855.0,3049.0,1806.0,1740.0,724.0,1016.0,3115.0,2325.0,790.0
18,Tompkins County PUMA,3660.0,1496.0,2164.0,1865.0,823.0,1042.0,1795.0,673.0,1122.0,3168.0,1368.0,1800.0,1453.0,695.0,758.0,1715.0,673.0,1042.0,444.0,128.0,316.0,364.0,128.0,236.0,80.0,0.0,80.0,48.0,0.0,48.0,48.0,0.0,48.0,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,7844.0,3705.0,4139.0,4451.0,1674.0,2777.0,3393.0,2031.0,1362.0,3730.0,1652.0,2078.0,2443.0,722.0,1721.0,1287.0,930.0,357.0,3388.0,1327.0,2061.0,1464.0,408.0,1056.0,1924.0,919.0,1005.0,726.0,726.0,0.0,544.0,544.0,0.0,182.0,182.0,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,28743.0,14853.0,13890.0,16374.0,8568.0,7806.0,12369.0,6285.0,6084.0,11168.0,5416.0,5752.0,6971.0,3557.0,3414.0,4197.0,1859.0,2338.0,14400.0,7324.0,7076.0,7412.0,3757.0,3655.0,6988.0,3567.0,3421.0,3175.0,2113.0,1062.0,1991.0,1254.0,737.0,1184.0,859.0,325.0
21,Westchester County (Northwest) PUMA,14563.0,8065.0,6498.0,6081.0,3474.0,2607.0,8482.0,4591.0,3891.0,4989.0,2210.0,2779.0,2631.0,1257.0,1374.0,2358.0,953.0,1405.0,6672.0,3618.0,3054.0,2276.0,1110.0,1166.0,4396.0,2508.0,1888.0,2902.0,2237.0,665.0,1174.0,1107.0,67.0,1728.0,1130.0,598.0
22,Albany County (Outside Albany City) PUMA,8719.0,3850.0,4869.0,5751.0,2689.0,3062.0,2968.0,1161.0,1807.0,4795.0,2526.0,2269.0,3837.0,2003.0,1834.0,958.0,523.0,435.0,3306.0,1324.0,1982.0,1466.0,686.0,780.0,1840.0,638.0,1202.0,618.0,0.0,618.0,448.0,0.0,448.0,170.0,0.0,170.0
23,Monroe County (South) PUMA,7598.0,3872.0,3726.0,4720.0,2270.0,2450.0,2878.0,1602.0,1276.0,5332.0,2799.0,2533.0,3591.0,1683.0,1908.0,1741.0,1116.0,625.0,891.0,327.0,564.0,779.0,327.0,452.0,112.0,0.0,112.0,1375.0,746.0,629.0,350.0,260.0,90.0,1025.0,486.0,539.0
