,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,1644546,681976,311525,370451,732439,377261,355178,230131,136264,93867
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,16278,10659,4661,5998,3993,1612,2381,1626,390,1236
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,12251,4512,1901,2611,7204,3182,4022,535,453,82
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,10480,7219,3535,3684,2288,800,1488,973,492,481
4,Madison & Cortland Counties PUMA,351,53,30,23,253,77,176,45,45,0
5,Ontario & Yates Counties PUMA,1146,834,348,486,220,0,220,92,92,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2588,909,554,355,1363,728,635,316,203,113
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,13553,7935,3103,4832,5189,1950,3239,429,196,233
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1814,235,43,192,1124,872,252,455,222,233
9,NYC-Manhattan Community District 8--Upper East Side PUMA,22929,20285,8328,11957,1979,340,1639,665,665,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,5395,3118,1256,1862,976,549,427,1301,252,1049
11,Erie County (Northwest) PUMA,2712,1038,395,643,1247,889,358,427,117,310
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",35870,17823,7885,9938,14908,7896,7012,3139,1980,1159
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,17911,3176,1801,1375,11417,5747,5670,3318,1089,2229
14,Rockland County (North)--New City & Congers PUMA,11116,3841,1670,2171,5232,3127,2105,2043,783,1260
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",720,395,151,244,197,120,77,128,100,28
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,17247,5880,2910,2970,7111,3972,3139,4256,2470,1786
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,37994,14824,6349,8475,18315,9367,8948,4855,3049,1806
18,Tompkins County PUMA,3678,3168,1368,1800,451,128,323,59,11,48
19,Dutchess County (Southwest) PUMA,8036,3783,1705,2078,3388,1327,2061,865,865,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,28799,11224,5416,5808,14400,7324,7076,3175,2113,1062
21,Westchester County (Northwest) PUMA,14623,5000,2221,2779,6721,3667,3054,2902,2237,665
22,Albany County (Outside Albany City) PUMA,8786,4862,2593,2269,3306,1324,1982,618,0,618
23,Monroe County (South) PUMA,7827,5466,2933,2533,891,327,564,1470,841,629
24,Jefferson & Lewis Counties PUMA,2863,1904,1108,796,959,270,689,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",1212,272,69,203,899,365,534,41,41,0
26,Erie County (Central) PUMA,2786,806,390,416,1796,1423,373,184,0,184
27,St. Lawrence County PUMA,1522,241,196,45,1196,633,563,85,0,85
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",20467,11297,4888,6409,5654,2987,2667,3516,1924,1592
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,5447,3300,1929,1371,1740,621,1119,407,407,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,20573,9085,3952,5133,8771,4306,4465,2717,1403,1314
31,Cayuga & Onondaga (South) Counties PUMA,1200,682,371,311,366,366,0,152,0,152
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,4471,1398,716,682,2971,683,2288,102,102,0
33,Fulton & Montgomery Counties PUMA,507,299,0,299,208,70,138,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,4632,2338,1128,1210,1834,1073,761,460,402,58
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,20423,9666,3705,5961,9564,5237,4327,1193,726,467
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,1036,274,158,116,701,464,237,61,0,61
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,9031,1876,740,1136,4613,2379,2234,2542,1692,850
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",14682,3336,2104,1232,8216,4451,3765,3130,1129,2001
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,32547,10490,5761,4729,16878,8609,8269,5179,3334,1845
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",7592,6307,1998,4309,587,391,196,698,316,382
41,Suffolk County (Central)--Islip Town (East) PUMA,3883,2476,1213,1263,1244,605,639,163,70,93
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",12200,3242,1131,2111,8566,4564,4002,392,192,200
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",48229,17987,8085,9902,24380,13190,11190,5862,3229,2633
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,42803,8944,4117,4827,24771,13252,11519,9088,6176,2912
45,Saratoga County (Outer) PUMA,2283,1855,1010,845,361,0,361,67,67,0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",12719,3953,1982,1971,6865,3497,3368,1901,895,1006
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",32089,17432,8606,8826,12483,7019,5464,2174,1187,987
48,Wayne & Seneca Counties PUMA,751,375,117,258,376,97,279,0,0,0
49,Schenectady County--Schenectady City PUMA,6087,3924,2057,1867,1741,953,788,422,83,339
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,20026,10327,5107,5220,7824,3605,4219,1875,317,1558
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,12538,7260,3290,3970,4708,2196,2512,570,0,570
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,12268,2888,1089,1799,6948,4297,2651,2432,1449,983
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",14894,10131,6716,3415,4292,1942,2350,471,333,138
54,Columbia & Greene Counties PUMA,1091,357,172,185,531,347,184,203,102,101
55,Rensselaer County--Troy City PUMA,1770,1333,689,644,401,240,161,36,36,0
56,Erie County (West Central)--Buffalo City (West) PUMA,6039,2842,1253,1589,1853,1564,289,1344,711,633
57,Erie County (South) PUMA,1684,1193,302,891,491,166,325,0,0,0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,5257,2163,715,1448,2233,746,1487,861,747,114
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",35294,7900,3790,4110,19388,9978,9410,8006,5247,2759
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,23688,12873,5730,7143,7869,3315,4554,2946,1437,1509
61,NYC-Manhattan Community District 10--Central Harlem PUMA,15197,6158,3165,2993,5805,3056,2749,3234,1888,1346
