,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
24,Jefferson & Lewis Counties PUMA,2863,1378,1485,2574,1357,1217,289,21,268,1904,1108,796,1748,1087,661,156,21,135,959,270,689,826,270,556,133,0,133,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",1212,475,737,1107,475,632,105,0,105,272,69,203,223,69,154,49,0,49,899,365,534,843,365,478,56,0,56,41,41,0,41,41,0,0,0,0
26,Erie County (Central) PUMA,2786,1813,973,2369,1465,904,417,348,69,806,390,416,794,390,404,12,0,12,1796,1423,373,1391,1075,316,405,348,57,184,0,184,184,0,184,0,0,0
27,St. Lawrence County PUMA,1435,742,693,995,694,301,440,48,392,241,196,45,193,148,45,48,48,0,1109,546,563,791,546,245,318,0,318,85,0,85,11,0,11,74,0,74
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",20018,9683,10335,15411,8160,7251,4607,1523,3084,10848,4772,6076,8646,4283,4363,2202,489,1713,5654,2987,2667,4745,2675,2070,909,312,597,3516,1924,1592,2020,1202,818,1496,722,774
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4991,2501,2490,4769,2444,2325,222,57,165,2995,1624,1371,2995,1624,1371,0,0,0,1589,470,1119,1424,470,954,165,0,165,407,407,0,350,350,0,57,57,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,20573,9661,10912,17172,8113,9059,3401,1548,1853,9085,3952,5133,8338,3897,4441,747,55,692,8771,4306,4465,6611,3270,3341,2160,1036,1124,2717,1403,1314,2223,946,1277,494,457,37
31,Cayuga & Onondaga (South) Counties PUMA,1200,737,463,978,515,463,222,222,0,682,371,311,682,371,311,0,0,0,366,366,0,144,144,0,222,222,0,152,0,152,152,0,152,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,4471,1501,2970,4471,1501,2970,0,0,0,1398,716,682,1398,716,682,0,0,0,2971,683,2288,2971,683,2288,0,0,0,102,102,0,102,102,0,0,0,0
33,Fulton & Montgomery Counties PUMA,507,70,437,152,43,109,355,27,328,299,0,299,0,0,0,299,0,299,208,70,138,152,43,109,56,27,29,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,4632,2603,2029,4200,2362,1838,432,241,191,2338,1128,1210,2338,1128,1210,0,0,0,1834,1073,761,1701,1073,628,133,0,133,460,402,58,161,161,0,299,241,58
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,20423,9668,10755,15548,6837,8711,4875,2831,2044,9666,3705,5961,8812,3572,5240,854,133,721,9564,5237,4327,5652,2586,3066,3912,2651,1261,1193,726,467,1084,679,405,109,47,62
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,1036,622,414,594,264,330,442,358,84,274,158,116,274,158,116,0,0,0,701,464,237,259,106,153,442,358,84,61,0,61,61,0,61,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,9031,4811,4220,7904,4605,3299,1127,206,921,1876,740,1136,1804,740,1064,72,0,72,4613,2379,2234,3558,2173,1385,1055,206,849,2542,1692,850,2542,1692,850,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",14682,7684,6998,10157,5882,4275,4525,1802,2723,3336,2104,1232,2713,1481,1232,623,623,0,8216,4451,3765,5939,3708,2231,2277,743,1534,3130,1129,2001,1505,693,812,1625,436,1189
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,32547,17704,14843,23234,12874,10360,9313,4830,4483,10490,5761,4729,8905,4715,4190,1585,1046,539,16878,8609,8269,11904,6585,5319,4974,2024,2950,5179,3334,1845,2425,1574,851,2754,1760,994
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",7592,2705,4887,7039,2496,4543,553,209,344,6307,1998,4309,6023,1998,4025,284,0,284,587,391,196,378,182,196,209,209,0,698,316,382,638,316,322,60,0,60
41,Suffolk County (Central)--Islip Town (East) PUMA,3883,1888,1995,3095,1569,1526,788,319,469,2476,1213,1263,2295,1213,1082,181,0,181,1244,605,639,707,356,351,537,249,288,163,70,93,93,0,93,70,70,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",12200,5887,6313,9063,3699,5364,3137,2188,949,3242,1131,2111,2736,625,2111,506,506,0,8566,4564,4002,6133,3024,3109,2433,1540,893,392,192,200,194,50,144,198,142,56
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",48036,24340,23696,37346,19240,18106,10690,5100,5590,17987,8085,9902,15337,6913,8424,2650,1172,1478,24250,13060,11190,18415,9982,8433,5835,3078,2757,5799,3195,2604,3594,2345,1249,2205,850,1355
