,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,0.31722203844013575,-0.0508777975883446,-0.06152618462241747,-0.055321223107499054,-2.705476689472424,1.251501057328055,0.21563547590546533,-0.1555490461595756,0.36049309491058684,-0.5592035817724716,0.07691504262399675,0.08198897198559232,-0.12541455124738116,-0.24638406689398154,-0.4890159419983242,-0.12866014748456894,B-,C,C,C,E,A-,C,C,B-,C-,C,C,C-,C,C,C
140,Nassau County (Central)--Hempstead Town (East Central) PUMA,-1.1800799689372303,-1.0407269950531044,0.46093752231567786,0.4663214937786805,#DIV/0!,0.4267556386013396,0.13757728970666747,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.7165629775590687,#DIV/0!,#DIV/0!,D,D,B-,B-,#DIV!0,B-,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,#DIV!0
141,Suffolk County (Northwest)--Huntington Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.35149764486284263,#DIV/0!,#DIV/0!,0.36049309491058684,0.3577441109296686,0.7575597604838098,0.7617433243141124,0.6387731918738826,0.035638824903782264,-0.728453447176155,0.31192840860566967,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,B-,B-,B,B,C-,B-,C,B-
142,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",#DIV/0!,0.5554058882814908,-0.10980364949285988,-0.10352282563982304,0.2680420798066308,0.6475420930698064,0.13228827804158144,#DIV/0!,#DIV/0!,-0.6904124634441502,0.1606545577544086,0.16561894571221022,0.21148030121924036,#DIV/0!,0.4310875393850368,#DIV/0!,#DIV!0,B-,C,C,B-,B-,C,#DIV!0,#DIV!0,C-,C,C,B-,C,#DIV!0,#DIV!0
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.4158639731215919,#DIV/0!,#DIV/0!,0.36049309491058684,-0.20922550685410107,0.7575597604838098,0.7617433243141124,#DIV/0!,0.8154274039390106,0.14359686516383882,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,B-,C,B,B,C,#DIV!0,B,#DIV!0
144,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,-1.4093779460430376,-0.5353286576259704,-0.0034305429176332003,0.0026831281530573874,-0.7651394166478409,-0.6105205720012268,0.7586923802381862,-0.36606023240635216,-0.5189049255928319,-0.25735948191458846,-0.23734541184498992,-0.23186039183776727,-0.01086074054745066,-1.2958967677802982,-1.1487245912117428,-0.5287074729613813,D-,C-,C,C,D,C-,B,C-,C-,C-,C,C,D,C,D-,C-
145,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.31722203844013575,1.0973286378988738,0.46093752231567786,0.4663214937786805,#DIV/0!,-0.9684726825757101,-0.6049139509649991,#DIV/0!,-2.4856867454208715,0.8738134520123415,0.3710702858879572,0.3757594246494364,0.24069567894393198,-0.7066394176859949,0.6722552113606843,-0.09410458717893068,B-,B,B-,B-,#DIV!0,D,C-,#DIV!0,E,B,B-,B-,B-,C,C-,C
146,Capital Region,-0.2115377274620588,-0.3659611458397907,-0.04868251331680922,-0.042497734115479205,-0.014856004185396298,0.047881102126262884,#DIV/0!,#DIV/0!,0.36049309491058684,0.4016496148152656,0.5473085350929613,0.5517671329301225,0.6387731918738826,-0.3319503578629204,#DIV/0!,#DIV/0!,C,C-,C,C,C,C,#DIV!0,#DIV!0,B-,B-,B-,B-,#DIV!0,B-,C-,#DIV!0
147,Central NY,0.58410446438533,0.6865363018448174,0.9525500659922141,0.9525500659922141,#DIV/0!,1.1707967431501523,#DIV/0!,#DIV/0!,0.6253767810914996,0.7067257823590036,1.1549106258815345,1.1549106258815345,0.7447184330385536,-0.5176210870853444,#DIV/0!,#DIV/0!,B-,B-,B,B,#DIV!0,B,#DIV!0,#DIV!0,B-,B-,B,B,#DIV!0,B-,C-,#DIV!0
148,Finger Lakes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.480767071062548,#DIV/0!,#DIV/0!,-2.413056342395244,0.010450145029237443,-0.5039369282671913,-0.5039369282671913,-1.9353267617592413,-0.025499470645503418,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,A-,#DIV!0,#DIV!0,E,C,C-,C-,#DIV!0,E,C,#DIV!0
149,Long Island,-2.4119841141322804,-0.2002457989726752,-1.0496709288090045,-1.0496709288090045,0.6065915720324047,0.09987211354548457,#DIV/0!,#DIV/0!,-0.4083270782151883,0.23253854753623546,-0.22130931461866526,-0.22130931461866526,-1.0121191971202048,0.8173368393081275,#DIV/0!,#DIV/0!,E,C,D,D,B-,C,#DIV!0,#DIV!0,C-,C,C,C,#DIV!0,D,B,#DIV!0
150,Mid-Hudson,-0.13394657862171272,0.43448625270244984,-0.2564193675710916,-0.2564193675710916,0.4714113213797143,-0.011464729947190161,#DIV/0!,#DIV/0!,-0.21710170262301856,0.15273433919831014,-0.3822164492934294,-0.3822164492934294,0.059149407249343165,-0.6460928209057353,#DIV/0!,#DIV/0!,C,B-,C-,C-,B-,C,#DIV!0,#DIV!0,C,C,C-,C-,#DIV!0,C,C-,#DIV!0
151,Mohawk Valley,0.58410446438533,-2.355564907969939,-1.685461288625769,-1.685461288625769,-1.7697486277997923,-0.10680039041708426,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.224628827159913,#DIV/0!,#DIV/0!,B-,E,D-,D-,E,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,#DIV!0
152,New York City,0.2533522174934581,-0.08202368684759956,-0.2927890422093097,-0.2927890422093097,0.484710442607104,-0.512358000871966,#DIV/0!,#DIV/0!,-0.08839878222404692,0.19237997078173785,0.03729823097091396,0.03729823097091396,-0.09057718052411157,-0.8155407554486895,#DIV/0!,#DIV/0!,B-,C,C-,C-,B-,C-,#DIV!0,#DIV!0,C,C,C,C,#DIV!0,C,D,#DIV!0
153,North Country,0.58410446438533,0.566465586723799,0.9525500659922141,0.9525500659922141,#DIV/0!,-2.252743574727392,#DIV/0!,#DIV/0!,0.6253767810914996,-2.5409887632362955,-2.069892726524272,-2.069892726524272,#DIV/0!,1.2462356106650203,#DIV/0!,#DIV/0!,B-,B-,B,B,#DIV!0,E,#DIV!0,#DIV!0,B-,E,E,E,#DIV!0,#DIV!0,B,#DIV!0
154,Southern Tier,0.58410446438533,0.7930985188350246,0.9525500659922141,0.9525500659922141,#DIV/0!,-0.17493288906887527,#DIV/0!,#DIV/0!,0.6253767810914996,0.7157304178936993,1.1549106258815345,1.1549106258815345,0.7447184330385536,1.9106102186869796,#DIV/0!,#DIV/0!,B-,B,B,B,#DIV!0,C,#DIV!0,#DIV!0,B-,B-,B,B,#DIV!0,B-,A,#DIV!0
155,Western NY,0.58410446438533,0.7039739108962175,0.9525500659922141,0.9525500659922141,#DIV/0!,0.15468934739611537,#DIV/0!,#DIV/0!,0.6253767810914996,-0.10656860437114901,0.05955480489436937,0.05955480489436937,0.7447184330385536,-0.3829438058353334,#DIV/0!,#DIV/0!,B-,B-,B,B,#DIV!0,C,#DIV!0,#DIV!0,B-,C,C,C,#DIV!0,B-,C-,#DIV!0
