,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",#DIV/0!,-0.15192221025522437,#DIV/0!,#DIV/0!,#DIV/0!,-0.1280307890487219,0.7185585883078202,#DIV/0!,#DIV/0!,0.4705665628340685,-0.4941286438743045,-0.4938167184756246,0.14678897740012287,0.0063421851335478075,-0.1462318923133841,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,B-,#DIV!0,#DIV!0,B-,C-,C-,C,C,C,#DIV!0
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,#DIV/0!,0.35620070853598984,0.36801858562548273,0.7088445580198975,-0.1030006699419646,#DIV/0!,#DIV/0!,0.6001193745285364,-0.526761433359683,0.46954066755738644,0.4698197437858563,0.3151834498770343,0.2696368947984533,0.1070694418202268,0.24351544842968723,#DIV!0,#DIV!0,B-,B-,B-,C,#DIV!0,#DIV!0,B-,C-,B-,B-,C,B-,B-,C
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",#DIV/0!,0.3597574009168091,#DIV/0!,#DIV/0!,#DIV/0!,-0.21359147219642913,0.06069203395005212,#DIV/0!,#DIV/0!,-0.3910103976384974,#DIV/0!,#DIV/0!,#DIV/0!,0.01987028921086297,0.21254513301432473,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,C,#DIV!0,C,#DIV!0
70,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
71,NYC-Manhattan Community District 11--East Harlem PUMA,#DIV/0!,-0.10265413533576533,0.7136028920574008,0.7196065223473128,0.8158781166630535,0.3770351183337366,1.9110878599683971,#DIV/0!,#DIV/0!,-1.5097037202237409,0.6149437203277892,0.6152178401157323,0.2399582386244468,-1.3702674876430074,0.14379958114396715,#DIV/0!,#DIV!0,C,B-,B-,B,B-,A,#DIV!0,#DIV!0,D-,B-,B-,C,C,D-,#DIV!0
72,Orange County (Southeast) PUMA,#DIV/0!,-0.10265413533576533,#DIV/0!,#DIV/0!,#DIV/0!,-0.1480757657250894,-0.8588837558075672,#DIV/0!,#DIV/0!,-1.1791874178270532,#DIV/0!,#DIV/0!,#DIV/0!,-0.40154263871785134,0.3473607283570705,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,D,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,B-,#DIV!0,C-,#DIV!0
73,Westchester County (Southeast) PUMA,#DIV/0!,-0.46033930970128706,#DIV/0!,#DIV/0!,#DIV/0!,-0.2539844473281283,-0.9557701473835759,#DIV/0!,0.6001193745285364,1.4217493154510934,1.0606126052510914,1.060871533258115,0.7360415267796171,0.9223553325302138,0.8144606120867078,0.945172899983625,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,C-,D,#DIV!0,B-,A-,B,B,B,B-,B,B
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,-1.4412353890295773,-0.9165212445912834,0.28368533172268257,0.2966828946590917,-1.5501088295937013,0.4070630063041331,-0.14037117973174085,-0.4372579157514851,-0.5925562330569658,0.576326024153352,-1.0981669907824911,-1.0978344751686455,-0.26216915267245305,0.5484255719894142,-0.6247239929356894,-0.36438560692478267,D-,D,B-,B-,D-,B-,C,C-,C-,B-,D,D,C-,C-,B-,C-
75,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.034736436756447234,#DIV/0!,#DIV/0!,#DIV/0!,-1.3702674876430074,-0.08301835971209234,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,C,#DIV!0,D-,#DIV!0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.20836994427373245,1.0606126052510914,1.060871533258115,#DIV/0!,-0.06132853305209814,-0.30369017121722336,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,B,B,C-,#DIV!0,C,#DIV!0
