,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",0.3084539636266197,0.43608100623497537,0.287653019884209,0.2837057010058682,#DIV/0!,-0.13279272345043205,0.20767013657008673,#DIV/0!,-4.636986644678334,0.2796936132922851,0.008888316822353491,0.00716112852803577,-0.39562768718861985,-0.2688941315394573,0.48465274432846644,-0.6458732372050385,B-,B-,B-,B-,#DIV!0,C,C,#DIV!0,E,B-,C,C,B-,C-,C-,C-
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,#DIV/0!,3.229879657965714,0.5318696280174364,0.5278451968779987,0.5651108610826387,#DIV/0!,0.10524435801192088,#DIV/0!,#DIV/0!,#DIV/0!,0.3029492028856193,0.30116093494303664,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,A,B-,B-,B-,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,B-,B-,#DIV!0,#DIV!0,#DIV!0,#DIV!0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,#DIV/0!,-1.4378434082233322,#DIV/0!,#DIV/0!,#DIV/0!,-0.011524647641559407,-0.10533045167993839,#DIV/0!,#DIV/0!,-0.6374631715928437,-1.241983745667069,-1.2434511142124085,0.09705811247453566,-0.17751334033750912,0.6864214835772137,#DIV/0!,#DIV!0,D-,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,#DIV!0,C-,D,D,B-,C,C,#DIV!0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.3084539636266197,0.23464477031778153,0.2860974907289994,0.28215066301451225,#DIV/0!,#DIV/0!,-0.4452334224327476,#DIV/0!,#DIV/0!,0.42304805628363756,0.2620912682938862,0.26031148698924816,#DIV/0!,-0.349576593280566,-0.02177631541781416,#DIV/0!,B-,C,B-,B-,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,B-,B-,B-,C,#DIV!0,C-,#DIV!0
64,Albany County (East Central)--Albany City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,#DIV/0!,-0.7332303330046223,#DIV/0!,#DIV/0!,#DIV/0!,-0.011524647641559407,-0.11620631701810205,#DIV/0!,0.4292925868196656,0.7622766930985815,-0.5872890731079499,-0.5888924288661967,0.09705811247453566,-0.1452260522716522,-0.053740383663126806,-0.012360077930877547,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,B-,B,C-,C-,C,C,C,C
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.0281772978616681,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",#DIV/0!,0.15454476176696202,#DIV/0!,#DIV/0!,#DIV/0!,0.9789656311934304,0.5553692624507348,#DIV/0!,#DIV/0!,0.17549167962278536,0.4353008470557851,0.43348508823544096,0.17607176247821663,-0.15939631087394107,0.35647120827571854,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,B,B-,#DIV!0,#DIV!0,C,B-,B-,B-,C,C,#DIV!0
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,1.2870263371280735,0.0635311438757496,0.0596545922754921,-0.06387386873067069,-0.25524072686543203,-0.13409455567999737,#DIV/0!,0.4292925868196656,-0.01823425387521199,0.4209422105358097,0.41912943416063175,-0.016537187474527395,-0.1475644385219675,0.3135093366872453,0.20007681261880647,#DIV!0,A-,C,C,C,C-,C,#DIV!0,B-,C,B-,B-,B-,C,C,C
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",#DIV/0!,0.6912388806905542,#DIV/0!,#DIV/0!,#DIV/0!,-0.36522431933934524,-0.15866243488155693,#DIV/0!,#DIV/0!,-0.10949068812003948,-0.3409889302452107,-0.3426434452252605,-0.3940451756380734,-0.09701906866239528,0.38618537471581815,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,C-,C,#DIV!0,#DIV!0,C,C-,C-,B-,C-,C,#DIV!0
