,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
135,Monroe County (Central)--Rochester City (West) PUMA,0.40326889440511693,0.08623063778244387,0.0065957366667780785,0.00674884633255447,-0.2877040447677262,-0.5617099257201512,-1.282996738638825,-0.232795227705687,0.26146231261811187,0.287394099227856,0.31595283767585153,0.3173844715716984,0.9066204874533014,0.5404530066807197,0.10056783104059232,0.3899764351811616,B-,C,C,C,C-,C-,D-,C,B-,B-,B-,B-,C,B,B-,B-
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,0.40326889440511693,-0.21108897400740054,0.2132414588986315,0.21339517855706125,0.27824795275802056,-0.09038150548062533,0.24224659412956934,0.14984708560862484,0.5059507458408543,0.19689541714458456,0.4282178707490361,0.4296445446610989,0.4110635207496636,0.2646462192084508,0.5374548770761435,0.39626759934711886,B-,C,C,C,B-,C,C,C,B-,C,B-,B-,B-,B-,B-,B-
137,Suffolk County (Central)--Islip Town (Northwest) PUMA,#DIV/0!,0.23938233514409205,0.5484267708366031,0.5485814799206816,#DIV/0!,0.2750338055408742,-0.8943580637459954,#DIV/0!,0.23710053854518834,0.21622880329195698,-0.21069795496080987,-0.20924305309523217,0.16759955857397243,0.3642224851544417,-0.4366010542205066,0.01837276046985869,#DIV!0,C,B-,B-,#DIV!0,B-,D,#DIV!0,C,C,C,C,C-,C,B-,C
138,Putnam County PUMA,#DIV/0!,0.8275140261033876,-0.8989422416242343,-0.898791804994745,-0.2361117219633536,-0.056563306095201965,0.4968866330893981,#DIV/0!,-0.8031952121407201,0.8261146937018012,-0.18398806814398164,-0.1825343463484744,0.29896416279898985,-0.0814434964020498,-0.4514488854838748,-0.08250445028832995,#DIV!0,B,D,D,C,C,B-,#DIV!0,D,B,C,C,C-,B-,C,C
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,0.2200047849958793,-0.4469084636273917,0.22980953233732548,0.22996330090266204,0.08327698254064297,1.508522948714792,-0.7832290120939114,0.1487771533957141,0.2918974401333218,0.23699155139671593,0.5711715218919782,0.5725918799657773,0.7742212420822979,-1.2002424292738985,-0.24422234873324467,0.14320126535184974,C,C-,C,C,C,A-,D,C,B-,C,B-,B-,C,B,D,C
140,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.40326889440511693,0.23363238046553886,0.5484267708366031,0.5485814799206816,0.03206396100442108,-0.7669737081476811,-1.040821229797309,-0.005974493044661212,0.5059507458408543,0.6178053151770159,-2.3348823610288627,-2.333333610527426,-2.09455914134944,0.18412188962717532,0.24710708059230455,-0.7439700116669112,B-,C,B-,B-,C,D,D,C,B-,B-,E,E,C,E,C,C-
141,Suffolk County (Northwest)--Huntington Town (South) PUMA,0.40326889440511693,0.5677807243814857,0.5484267708366031,0.5485814799206816,#DIV/0!,0.3222987419122051,0.04315944115593135,#DIV/0!,0.5059507458408543,0.6287436777491517,1.245251733315574,1.2466423098373944,#DIV/0!,0.7290918799931183,0.2368003848920081,#DIV/0!,B-,B-,B-,B-,#DIV!0,B-,C,#DIV!0,B-,B-,B,B,C,#DIV!0,B-,#DIV!0
142,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",-0.4778146561058485,0.28228706636743695,0.2937807054696002,0.2939346628699401,0.2247646665811376,-1.5487387507081276,0.4753562289102102,-0.06520429665937873,0.23394915325288632,-0.0062239820031451095,0.1384373023839524,0.13987677909739243,-0.020447659575368614,-0.5614963286814175,0.17220251598333333,0.013756825779661882,C-,B-,B-,B-,C,D-,B-,C,C,C,C,C,C,C,C-,C
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,-1.0595167347526915,0.7554600593605394,0.5484267708366031,0.5485814799206816,#DIV/0!,0.2225751142461661,-0.2065217098317577,#DIV/0!,0.5059507458408543,-0.3784545816962448,0.3120739339096004,0.31350573917937613,-1.7565710718210752,0.04956511830271843,-0.6633768326685832,-0.23104384985047913,D,B,B-,B-,#DIV!0,C,C,#DIV!0,B-,C-,B-,B-,C-,E,C,C
144,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,-0.05323581045721036,-0.4968739500397812,0.5484267708366031,0.5485814799206816,0.27824795275802056,-2.024005810052868,-0.7629197178706372,-0.28025415498645595,0.32400457201807553,0.18298685005195475,0.33184780118192236,0.3332787328220527,-0.4259378510236201,0.27107728268392245,-0.5847084512300966,0.06179270521488732,C,C-,B-,B-,B-,E,D,C-,B-,C,B-,B-,C-,C-,B-,C
