,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
130,Sullivan & Ulster (West) Counties PUMA,0.30490265290482754,-2.5753040275523356,0.5396463382112034,0.5439750689197872,#DIV/0!,0.02976881197223252,-0.17039036123157542,#DIV/0!,0.4999126281728204,-0.22268952588171456,0.35577698617393055,0.3578471978015316,0.8315809394155029,-0.1927467466504237,0.8879776088662172,0.35966558398540915,B-,E,B-,B-,#DIV!0,C,C,#DIV!0,B-,C,B-,B-,B,B,C,B-
131,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,#DIV/0!,-3.5264017428096515,#DIV/0!,#DIV/0!,#DIV/0!,-0.5036816075395041,#DIV/0!,#DIV/0!,-4.481073130057141,-0.1875649944300396,0.6884412616602079,0.690570006576292,0.8315809394155029,0.3261949539502935,-0.06115186367590304,-0.31328611808011253,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,E,C,B-,B-,C,B,B-,C-
132,Suffolk County (Northwest)--Huntington Town (North) PUMA,#DIV/0!,-0.6336633751904917,0.231283276745269,0.23571197649637574,#DIV/0!,-0.3550150589700035,-1.1949868005884297,#DIV/0!,#DIV/0!,-0.7331217127305347,#DIV/0!,#DIV/0!,#DIV/0!,0.39900909782874144,0.2458849836281456,#DIV/0!,#DIV!0,C-,C,C,#DIV!0,C-,D,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,C,#DIV!0,B-,#DIV!0
133,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",#DIV/0!,-0.1725789241860116,0.059068191404680594,0.06355272202316707,0.3805729932922988,0.23646267153116274,-0.3378629583507815,#DIV/0!,#DIV/0!,0.03591084055745647,0.07146427506193578,0.07348446100549072,0.5930106839551674,-0.5316963095363101,-0.13169050377003416,#DIV/0!,#DIV!0,C,C,C,B-,C,C-,#DIV!0,#DIV!0,C,C,C,C,B-,C-,#DIV!0
134,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",0.30490265290482754,-0.4703552262918068,#DIV/0!,#DIV/0!,#DIV/0!,0.15793687434199244,0.08581018544827684,#DIV/0!,-1.332346052663355,0.04642651346637157,-0.279099139618567,-0.27714063637133735,-0.08247865316118824,-0.26945395871602773,0.24180749349937755,-0.27889777622353235,B-,C-,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,D-,C,C-,C-,C,C,C-,C-
135,Monroe County (Central)--Rochester City (West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4999126281728204,-2.4049457104791605,-0.007111371462814721,-0.0051050111426425345,#DIV/0!,-0.9245564869592751,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,E,C,C,#DIV!0,#DIV!0,D,#DIV!0
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,#DIV/0!,0.006305324434337568,-0.24587257423992648,-0.24128918406211794,#DIV/0!,0.03468028741366988,-0.09478721879631653,#DIV/0!,#DIV/0!,-0.12327850407071743,0.0671692054619719,0.06918863567500068,0.01154139223091763,-0.41999034234268323,-0.5557473288259849,#DIV/0!,#DIV!0,C,C,C,#DIV!0,C,C,#DIV!0,#DIV!0,C,C,C,C-,C,C-,#DIV!0
137,Suffolk County (Central)--Islip Town (Northwest) PUMA,#DIV/0!,-0.5574662113466391,#DIV/0!,#DIV/0!,#DIV/0!,-0.19202597497461904,0.6126602456381258,#DIV/0!,0.4999126281728204,0.07821106801669155,0.23596582687731893,0.23801495736796788,0.12156524316068244,-0.22014321558327724,0.21214804510585009,0.16652493615972203,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,C,B-,#DIV!0,B-,C,C,C,C,C,C,C
138,Putnam County PUMA,#DIV/0!,-0.6658470862554924,0.5396463382112034,0.5439750689197872,0.731462842566309,-0.24735985947751765,-1.3002498408312186,#DIV/0!,0.4999126281728204,0.08310060213762709,-0.366156762019879,-0.36421357682541955,-2.0358593247819696,-0.6653880202131252,-0.3700558304940728,-0.4598086120034312,#DIV!0,C-,B-,B-,B-,C,D-,#DIV!0,B-,C,C-,C-,C-,E,C-,C-
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,-0.6433609895721487,0.30371827852794026,-0.5401013509992115,-0.5354225740102995,0.3955307176999564,-0.13791363240844265,0.6892387022090752,-0.0669015497933044,-0.08898281534619697,-0.26249145343280667,-0.42128222609766813,-0.4193487403958485,-5.175593426603537,2.009509659983855,-0.25258527622635174,-0.6586820397312219,C-,B-,C-,C-,B-,C,B-,C,C,C-,C-,C-,C-,E,A,C-
