,puma,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
129,NYC-Manhattan Community District 10--Central Harlem PUMA,36.946990833001195,47.87322768974145,26.946564885496183
130,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",41.404068607897884,28.281438155857565,52.75215709610235
131,NYC-Manhattan Community District 11--East Harlem PUMA,25.769813225643613,32.03324808184143,21.684737281067555
132,Westchester County (Northwest) PUMA,22.702547953048953,10.593824228028502,41.066282420749275
133,Onondaga County (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
134,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,20.938023450586265,0.0,34.530386740331494
135,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,18.26226870474658,11.917562724014337,23.43065693430657
136,Genesee & Orleans Counties PUMA,0.0,0.0,#DIV/0!
137,Westchester County (Central)--White Plains City PUMA,38.32167832167832,0.0,55.63451776649746
138,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
139,Monroe County (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
140,Suffolk County (Central)--Islip Town (Northwest) PUMA,17.2,31.25,10.828488372093023
141,St. Lawrence County PUMA,100.0,#DIV/0!,100.0
142,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.0,0.0,0.0
143,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,59.28909122745579,61.12580279561768,57.702349869451695
144,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",35.76837935453804,30.222449501406288,40.41095890410959
145,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
146,Capital Region,63.829787234042556,79.23784494086728,51.84049079754601
147,Central NY,62.45704467353952,73.39901477832512,60.145681581685736
148,Finger Lakes,56.46186440677966,35.27054108216433,80.2247191011236
149,Long Island,38.104588673005374,39.995508645856724,36.49243729657285
150,Mid-Hudson,35.49822064056939,25.78576010262989,48.79676796065343
151,Mohawk Valley,10.859301227573184,0.0,22.954091816367264
152,New York City,36.78424022491177,33.61833045721557,39.454667088151616
153,North Country,76.96850393700787,52.83018867924528,87.96561604584528
154,Southern Tier,58.536585365853654,#DIV/0!,58.536585365853654
155,Western NY,20.92320966350302,11.091393078970718,30.22670025188917
